Rk,Team,G,MP,FG%,Dist.,,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,,% of FG Ast'd_2P,% of FG Ast'd_3P,,dunks_%FGA,dunks_Md.,,layups_%FGA,layups_Md.,,corner_%3PA,corner_3P%,,heaves_Att.,heaves_Md.
1,Atlanta Hawks,82,19780,0.481,14.1,,0.581,0.257,0.182,0.097,0.046,0.419,,0.557,0.679,0.472,0.451,0.428,0.377,,0.561,0.831,,0.067,440,,0.266,1102,,0.263,0.396
2,Boston Celtics*,82,19830,0.45,14.8,,0.585,0.198,0.229,0.1,0.058,0.415,,0.524,0.688,0.432,0.49,0.384,0.347,,0.505,0.791,,0.048,295,,0.273,1072,,0.21,0.387
3,Brooklyn Nets,82,19780,0.48,14.1,,0.576,0.255,0.212,0.071,0.038,0.424,,0.567,0.716,0.462,0.446,0.379,0.362,,0.577,0.866,,0.074,469,,0.276,1076,,0.285,0.376
4,Chicago Bulls,82,19755,0.467,14.2,,0.583,0.269,0.184,0.08,0.051,0.417,,0.556,0.686,0.451,0.441,0.427,0.344,,0.577,0.817,,0.063,445,,0.271,1211,,0.218,0.358
5,Charlotte Hornets,82,19755,0.467,15,,0.551,0.243,0.172,0.089,0.047,0.449,,0.559,0.694,0.46,0.444,0.447,0.355,,0.545,0.837,,0.056,366,,0.25,1052,,0.216,0.421
6,Cleveland Cavaliers*,82,19755,0.454,14.4,,0.587,0.238,0.199,0.103,0.047,0.413,,0.52,0.652,0.436,0.443,0.376,0.359,,0.524,0.822,,0.053,357,,0.251,1006,,0.27,0.394
7,Dallas Mavericks,82,19730,0.469,13.6,,0.614,0.248,0.224,0.094,0.047,0.386,,0.536,0.68,0.441,0.467,0.371,0.363,,0.534,0.851,,0.066,420,,0.27,1110,,0.267,0.386
8,Denver Nuggets*,82,19855,0.466,14.5,,0.584,0.219,0.212,0.106,0.047,0.416,,0.538,0.705,0.462,0.428,0.35,0.365,,0.581,0.852,,0.062,425,,0.252,1099,,0.25,0.402
9,Detroit Pistons*,82,19805,0.461,14.7,,0.576,0.188,0.253,0.089,0.047,0.424,,0.531,0.677,0.47,0.452,0.428,0.366,,0.513,0.807,,0.053,332,,0.257,999,,0.251,0.368
10,Golden State Warriors*,82,19730,0.465,14.8,,0.582,0.144,0.29,0.099,0.049,0.418,,0.539,0.707,0.496,0.48,0.417,0.363,,0.531,0.863,,0.051,325,,0.259,1020,,0.247,0.413
11,Houston Rockets*,82,19780,0.459,14,,0.609,0.223,0.234,0.103,0.05,0.391,,0.524,0.695,0.445,0.435,0.317,0.357,,0.493,0.779,,0.053,340,,0.291,1181,,0.234,0.376
12,Indiana Pacers*,82,19855,0.474,14.1,,0.596,0.231,0.234,0.085,0.046,0.404,,0.554,0.69,0.481,0.451,0.435,0.355,,0.51,0.84,,0.067,426,,0.288,1178,,0.244,0.386
13,Los Angeles Clippers*,82,19805,0.461,14.9,,0.568,0.204,0.223,0.091,0.049,0.432,,0.545,0.724,0.466,0.414,0.403,0.35,,0.563,0.826,,0.063,388,,0.25,1007,,0.229,0.374
14,Los Angeles Lakers*,82,19730,0.463,14.6,,0.573,0.209,0.234,0.087,0.043,0.427,,0.544,0.725,0.458,0.411,0.395,0.356,,0.573,0.836,,0.061,409,,0.265,1088,,0.232,0.376
15,Memphis Grizzlies*,82,19705,0.456,14.6,,0.571,0.22,0.207,0.095,0.049,0.429,,0.529,0.696,0.436,0.402,0.418,0.36,,0.546,0.841,,0.068,458,,0.242,985,,0.223,0.393
16,Miami Heat*,82,19930,0.466,14.7,,0.572,0.222,0.208,0.093,0.049,0.428,,0.545,0.697,0.484,0.42,0.357,0.36,,0.556,0.819,,0.054,357,,0.249,1069,,0.239,0.388
17,Milwaukee Bucks*,82,19755,0.457,15.1,,0.568,0.224,0.182,0.108,0.054,0.432,,0.536,0.696,0.433,0.456,0.382,0.353,,0.538,0.827,,0.056,353,,0.248,1055,,0.237,0.396
18,Minnesota Timberwolves*,82,19830,0.46,14.2,,0.591,0.225,0.217,0.104,0.046,0.409,,0.534,0.683,0.438,0.464,0.423,0.353,,0.518,0.819,,0.055,365,,0.264,1040,,0.235,0.375
19,New Orleans Pelicans,82,19755,0.483,14.5,,0.557,0.26,0.185,0.07,0.041,0.443,,0.578,0.699,0.499,0.447,0.387,0.365,,0.554,0.857,,0.072,468,,0.27,1181,,0.261,0.393
20,New York Knicks*,82,19880,0.474,14,,0.593,0.268,0.186,0.091,0.049,0.407,,0.548,0.68,0.469,0.415,0.37,0.367,,0.51,0.816,,0.056,378,,0.268,1115,,0.241,0.401
21,Oklahoma City Thunder*,82,19705,0.436,15.1,,0.548,0.199,0.216,0.088,0.045,0.452,,0.513,0.665,0.436,0.434,0.37,0.342,,0.531,0.863,,0.046,270,,0.259,984,,0.281,0.382
22,Orlando Magic*,82,19730,0.468,14,,0.615,0.223,0.238,0.099,0.055,0.385,,0.532,0.689,0.451,0.436,0.421,0.365,,0.513,0.797,,0.06,333,,0.276,1036,,0.236,0.403
23,Philadelphia 76ers,82,19805,0.488,14.3,,0.567,0.278,0.174,0.072,0.041,0.433,,0.572,0.719,0.44,0.408,0.427,0.378,,0.575,0.849,,0.067,427,,0.28,1180,,0.245,0.37
24,Phoenix Suns,82,19830,0.473,14.9,,0.574,0.2,0.224,0.094,0.057,0.426,,0.549,0.717,0.482,0.44,0.406,0.37,,0.543,0.834,,0.069,446,,0.255,1063,,0.212,0.42
25,Portland Trail Blazers,82,19780,0.471,14.1,,0.602,0.245,0.203,0.095,0.059,0.398,,0.544,0.696,0.414,0.486,0.452,0.361,,0.543,0.825,,0.065,410,,0.264,1064,,0.253,0.377
26,Sacramento Kings,82,19880,0.474,15,,0.565,0.17,0.258,0.088,0.049,0.435,,0.545,0.707,0.514,0.436,0.346,0.381,,0.543,0.845,,0.05,312,,0.259,1088,,0.255,0.38
27,San Antonio Spurs,82,19730,0.474,14.4,,0.575,0.261,0.185,0.078,0.051,0.425,,0.554,0.68,0.452,0.478,0.401,0.365,,0.54,0.842,,0.066,444,,0.264,1130,,0.237,0.382
28,Toronto Raptors,82,19805,0.466,14.2,,0.573,0.266,0.189,0.074,0.044,0.427,,0.554,0.703,0.434,0.427,0.387,0.349,,0.53,0.841,,0.057,370,,0.279,1174,,0.255,0.371
29,Utah Jazz,82,19805,0.48,15,,0.554,0.174,0.257,0.082,0.041,0.446,,0.577,0.731,0.526,0.473,0.457,0.358,,0.565,0.863,,0.076,486,,0.251,1137,,0.215,0.401
30,Washington Wizards,82,19730,0.471,14.6,,0.578,0.22,0.221,0.093,0.044,0.422,,0.549,0.738,0.443,0.411,0.426,0.364,,0.56,0.84,,0.071,483,,0.255,1087,,0.249,0.408
