Player,KP,PrgP,Cmp_percent_Total,Pos,xA_Expected,Final_Third,PPA,xAG,Succ_Take,PrgC_Carries,CPA_Carries,Final_Third_Carries,PrgR_Receiving,Rec_Receiving,TklW_Tackles,Int,Min_Playing.Time,SCA90_SCA,PassLive_GCA,GCA90_GCA,Sh_per_90_Standard,SoT_per_90_Standard,xG_Expected,npxG_Expected,G_minus_xG_Expected,Recov,TB_Pass,Att,xG_per90,npXG_per90,Sh_per90,SoT_per90,SCA_per90,GCA_per90,PassLive_SCA_per90,TB_per90,KP_per90,PrgP_per90,PPA_per90,F3P_per90,Succ_Take_per90,PrgC_per90,CPA_per90,F3C_per90,TklW_per90,Recov_per90,PrgR_per90,Rec_per90,xA_per90,xAG_per90,Cluster,Style
Tomás Conechny,7,23,63.8,"FW,MF",0.8,14,11,0.3,6,14,2,18,61,307,12,6,847.0,1.48,0,0.0,2.34,1.06,2.4,2.4,-1.4,45,2,329,0.25501770956316405,0.25501770956316405,2.34,1.06,1.48,0.0,0.0,0.21251475796930341,0.743801652892562,2.4439197166469895,1.168831168831169,1.487603305785124,0.6375442739079102,1.487603305785124,0.21251475796930341,1.912632821723731,1.2750885478158205,4.781582054309327,6.481700118063754,32.621015348288076,0.08500590318772137,0.03187721369539551,6,Pressing Forward
Jon Guridi,17,79,74.2,"MF,FW",1.1,55,11,1.2,8,27,4,31,90,587,22,14,2080.0,2.08,5,0.35,1.0,0.48,4.2,3.4,-1.2,86,2,737,0.18173076923076922,0.14711538461538462,1.0,0.48,2.08,0.35,0.21634615384615385,0.08653846153846154,0.7355769230769231,3.4182692307692304,0.4759615384615385,2.379807692307692,0.34615384615384615,1.1682692307692308,0.17307692307692307,1.341346153846154,0.951923076923077,3.7211538461538463,3.894230769230769,25.39903846153846,0.04759615384615386,0.05192307692307692,6,Pressing Forward
Kiké,13,50,65.3,FW,1.6,30,6,0.9,13,25,10,18,158,719,14,1,2542.0,1.35,3,0.14,2.12,0.85,9.6,7.2,3.4,90,4,588,0.33988985051140835,0.2549173878835563,2.12,0.85,1.35,0.14,0.10621557828481511,0.14162077104642015,0.4602675059008655,1.7702596380802518,0.21243115656963021,1.0621557828481512,0.4602675059008655,0.8851298190401259,0.35405192761605037,0.6372934697088907,0.4956726986624705,3.1864673485444532,5.594020456333595,25.45633359559402,0.05664830841856806,0.031864673485444535,8,Peripheral Forward
Carlos Martín,13,21,65.3,"FW,MF",1.4,15,7,2.7,9,13,4,11,67,375,21,5,1333.0,1.96,1,0.2,1.76,0.81,2.3,2.3,-0.3,55,4,400,0.15528882220555137,0.15528882220555137,1.76,0.81,1.96,0.2,0.06751687921980495,0.2700675168792198,0.8777194298574644,1.4178544636159038,0.47261815453863465,1.0127531882970742,0.6076519129782445,0.8777194298574644,0.2700675168792198,0.7426856714178545,1.4178544636159038,3.7134283570892723,4.523630907726932,25.318829707426854,0.09452363090772693,0.18229557389347337,6,Pressing Forward
Toni Martínez,11,11,58.3,FW,0.9,11,4,0.6,9,13,7,9,57,272,7,1,1012.0,2.4,0,0.09,4.09,1.33,3.6,3.6,0.4,30,2,240,0.32015810276679846,0.32015810276679846,4.09,1.33,2.4,0.09,0.0,0.17786561264822134,0.9782608695652174,0.9782608695652174,0.3557312252964427,0.9782608695652174,0.8003952569169961,1.1561264822134387,0.6225296442687747,0.8003952569169961,0.6225296442687747,2.66798418972332,5.069169960474309,24.1897233201581,0.08003952569169961,0.0533596837944664,0,Support Forward
Stoichkov,7,26,61.7,"MF,FW",0.7,16,10,1.2,6,9,3,5,41,194,9,1,699.0,3.6,1,0.26,2.32,0.39,1.1,1.1,-1.1,44,6,214,0.14163090128755365,0.14163090128755365,2.32,0.39,3.6,0.26,0.12875536480686695,0.7725321888412017,0.9012875536480687,3.347639484978541,1.2875536480686696,2.060085836909871,0.7725321888412017,1.1587982832618027,0.38626609442060084,0.6437768240343348,1.1587982832618027,5.665236051502146,5.278969957081546,24.97854077253219,0.09012875536480686,0.15450643776824033,6,Pressing Forward
Carlos Vicente,63,68,63.2,"FW,MF",5.9,36,38,5.4,34,104,28,48,226,898,31,14,3092.0,3.11,6,0.26,1.02,0.38,3.5,2.7,1.5,133,3,1140,0.101875808538163,0.07858990944372575,1.02,0.38,3.11,0.26,0.17464424320827943,0.08732212160413971,1.833764553686934,1.979301423027167,1.1060802069857698,1.0478654592496766,0.9896507115135835,3.0271668822768434,0.815006468305304,1.3971539456662354,0.9023285899094438,3.8712807244501937,6.578266494178526,26.13842173350582,0.17173350582147479,0.1571798188874515,6,Pressing Forward
Himad Abdelli,39,207,82.1,"MF,FW",3.7,171,38,3.2,57,107,17,90,111,1446,32,26,2842.0,2.98,3,0.16,1.11,0.25,6.4,3.2,-0.4,193,23,1672,0.2026741731175229,0.10133708655876145,1.11,0.25,2.98,0.16,0.09500351864883885,0.7283603096410978,1.235045742434905,6.555242786769881,1.203377902885292,5.415200562983814,1.805066854327938,3.3884588318085855,0.5383532723434201,2.8501055594651654,1.0133708655876144,6.111893033075299,3.5151301900070373,45.79169598874033,0.11717100633356792,0.10133708655876145,5,Dribbling Playmaker
Jim Allevinah,15,48,75.2,FW,1.7,28,13,2.5,15,57,8,34,99,483,11,12,1750.0,2.0,4,0.36,1.8,0.51,4.2,4.2,-3.2,88,2,483,0.21600000000000003,0.21600000000000003,1.8,0.51,2.0,0.36,0.20571428571428574,0.10285714285714287,0.7714285714285715,2.4685714285714284,0.6685714285714286,1.44,0.7714285714285715,2.9314285714285715,0.4114285714285715,1.7485714285714284,0.5657142857142857,4.525714285714286,5.091428571428572,24.840000000000003,0.08742857142857142,0.12857142857142856,4,Secondary Creator
Jacques Ekomie,0,20,70.4,"DF,FW",0.1,10,3,0.0,4,13,0,14,24,161,14,4,697.0,0.52,1,0.13,0.13,0.0,0.0,0.0,0.0,33,0,260,0.0,0.0,0.13,0.0,0.52,0.13,0.1291248206599713,0.0,0.0,2.582496413199426,0.3873744619799139,1.291248206599713,0.5164992826398852,1.6786226685796268,0.0,1.8077474892395982,1.8077474892395982,4.261119081779054,3.098995695839311,20.78909612625538,0.01291248206599713,0.0,6,Pressing Forward
Zinedine Ferhat,17,40,67.2,"FW,MF",2.1,24,13,2.4,10,16,4,10,64,390,7,10,849.0,3.39,1,0.11,1.27,0.53,1.4,1.4,0.6,47,3,451,0.14840989399293286,0.14840989399293286,1.27,0.53,3.39,0.11,0.10600706713780918,0.31802120141342755,1.802120141342756,4.240282685512367,1.3780918727915195,2.5441696113074204,1.0600706713780919,1.6961130742049468,0.4240282685512367,1.0600706713780919,0.7420494699646643,4.982332155477032,6.784452296819787,41.342756183745585,0.2226148409893993,0.254416961130742,5,Dribbling Playmaker
