Squad,Comp,Team_or_Opponent,PrgP,Final_Third,Cmp_percent_Total,Cmp_Short,Cmp_percent_Short,Cmp_Medium,Cmp_percent_Medium,Cmp_Long,Cmp_percent_Long,xAG,xA_Expected,Poss,Touches_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Carries_Carries,PrgDist_Carries,Final_Third_Carries,CPA_Carries,Succ_Take,Tkl_Tackles,TklW_Tackles,Int,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl+Int,Sh_Blocks,Pass_Blocks,Clr,SCA_SCA,SCA90_SCA,PassLive_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Sh_per_90_Standard,SoT_per_90_Standard,SoT_percent_Standard,G_per_Sh_Standard,G_per_SoT_Standard,xG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Recov,Won_percent_Aerial,Fls,Att,Live_Pass,TB_Pass,Sw_Pass,Cluster,Cluster_Name,PCA1,PCA2
Alavés,La Liga,team,1160,963,71.4,4546,82.7,4441,80.1,1312,46.2,25.4,25.9,45.3,19070,5802,8634,4809,691,9128,22946,346,90,185,737,459,309,346,307,84,1046,96,286,918,690,18.16,465,26,41,48,15,61,1.61,39,3,3,7,9,0,10.34,3.24,31.3,0.07,0.24,42.8,0.09,-4.8,-5.1,1499,47.9,623,14746,12723,45,99,0,Possession Builders,-6.805246740810807,3.8645273309183588
Angers,Ligue 1,team,953,777,78.8,4970,88.4,4828,85.4,1022,50.0,23.5,22.7,41.2,17919,6594,7732,3813,512,9398,26951,365,98,249,624,392,336,340,202,82,960,116,249,903,546,16.06,389,25,33,29,21,55,1.62,34,4,3,4,8,2,9.15,2.68,29.3,0.08,0.29,36.0,0.1,-5.0,-5.3,1414,43.8,380,14057,12474,53,69,0,Possession Builders,-6.7296600454769875,0.09139519253649975
Arsenal,Premier League,team,1826,1397,84.3,8591,91.8,7129,89.1,1031,51.0,45.3,45.7,56.9,24056,6064,10362,7808,1282,14234,40246,540,286,320,598,348,225,220,249,129,823,106,222,680,969,25.5,726,52,64,34,11,119,3.13,86,11,6,11,4,1,14.32,4.68,32.7,0.12,0.37,59.9,0.11,7.1,6.6,1436,50.3,401,20241,18608,80,74,8,High Work-Rate Creators,6.640528909516164,-0.7127440089449245
Aston Villa,Premier League,team,1344,1137,82.6,6778,90.3,6555,88.7,1088,52.7,41.7,36.9,50.5,21699,7301,9257,5362,951,12334,36242,448,212,327,637,372,240,293,249,95,877,107,222,788,849,22.34,602,51,58,39,14,102,2.68,80,7,3,6,4,2,12.58,4.18,33.3,0.11,0.33,56.1,0.11,-0.1,1.7,1418,47.2,406,17797,16044,95,58,8,High Work-Rate Creators,1.8519845757919742,0.1140335579664226
Atalanta,Serie A,team,1824,1382,83.1,7796,89.9,7832,88.1,1506,59.6,46.9,46.4,55.3,25020,6907,11325,7007,1076,15076,42064,696,254,257,571,347,296,238,260,73,867,98,262,679,966,25.42,736,51,71,22,11,131,3.45,105,5,4,13,4,0,14.16,4.76,33.6,0.13,0.39,65.0,0.11,11.0,11.5,1732,54.4,435,20998,19273,48,117,6,Efficient Attackers,7.147532265783743,-0.6979302992336183
Athletic Club,La Liga,team,1579,1283,78.6,5552,86.8,6520,86.7,1395,51.0,36.7,33.1,48.4,21761,6255,10334,5382,760,11368,32773,444,188,328,577,345,344,240,252,85,921,72,281,911,832,21.89,630,52,38,27,20,92,2.42,63,8,7,8,6,0,12.16,3.89,32.0,0.11,0.34,53.0,0.11,0.0,1.8,1735,49.1,483,17375,15511,48,116,1,Balanced Attackers,0.5849667915319031,1.0542862061983327
Atlético Madrid,La Liga,team,1559,1233,83.2,8814,90.4,6993,87.6,1486,59.0,47.9,45.3,52.6,25387,8013,11493,6074,860,15829,41305,579,167,276,619,375,260,305,238,76,879,97,261,818,826,21.74,657,39,42,24,15,123,3.24,100,1,7,7,5,3,12.18,4.58,37.6,0.13,0.36,64.6,0.13,3.4,2.7,1563,51.4,412,21418,19514,76,112,6,Efficient Attackers,5.062545520911652,-0.02433831405207276
Augsburg,Bundesliga,team,1162,905,77.5,4900,85.8,5187,86.0,1267,53.3,25.1,33.1,44.3,19036,6126,8404,4701,681,10166,23696,356,97,228,464,300,341,198,202,64,805,121,296,971,704,20.71,505,34,43,37,5,63,1.85,42,7,5,5,3,1,11.68,3.35,28.7,0.09,0.3,34.7,0.08,0.3,0.9,1441,51.9,351,14936,13228,32,48,4,Defensive Blockers,-4.367645455854777,-3.706043597338043
Auxerre,Ligue 1,team,1084,804,77.7,4812,87.2,4576,85.5,1301,52.1,32.0,24.3,42.5,18188,6744,7753,3877,614,10101,24986,350,137,258,657,403,350,330,232,95,1007,125,269,944,688,20.24,512,35,38,25,20,87,2.56,52,10,8,7,9,1,11.03,4.24,38.4,0.11,0.3,41.0,0.1,6.0,5.7,1492,49.4,404,14162,12617,34,168,7,Direct Threat Makers,-3.4020121612662972,0.9560357511881111
Barcelona,La Liga,team,2212,2020,86.8,10452,92.2,9674,90.9,1577,65.1,67.5,64.7,68.3,29805,6516,14966,8535,1208,18077,49435,667,238,455,538,332,227,186,245,107,765,60,269,601,1205,31.71,928,79,71,53,14,172,4.53,127,5,17,10,12,1,17.63,6.32,35.8,0.14,0.38,91.5,0.13,7.5,6.8,1673,52.9,368,25721,23787,130,133,2,High-Tempo Elite Attack,16.060125898683822,0.4445328802205663
Bayern Munich,Bundesliga,team,2138,2131,88.4,11338,93.3,9489,91.9,1548,66.5,59.7,75.9,67.9,29435,6130,14825,8664,1212,18048,45625,683,265,383,506,300,232,166,233,107,738,52,266,518,1168,34.35,902,91,63,37,11,161,4.74,108,6,19,16,9,3,18.71,7.5,40.1,0.14,0.34,81.7,0.12,14.3,13.0,1665,54.9,295,25733,24287,129,125,2,High-Tempo Elite Attack,17.12932538039804,-1.360169191832463
Betis,La Liga,team,1486,1127,81.8,7583,90.0,6318,86.7,1341,54.9,37.5,34.8,52.4,23872,7466,10545,6088,921,13910,36269,532,228,312,645,397,356,271,273,101,1001,113,293,910,944,24.84,718,59,48,40,17,100,2.63,72,6,4,9,8,1,13.63,4.63,34.0,0.09,0.27,54.7,0.09,0.3,1.1,1679,49.3,433,19284,17322,60,153,1,Balanced Attackers,2.503482944188377,3.4106303277024304
Bochum,Bundesliga,team,1090,865,72.2,3889,82.8,4761,81.4,1433,50.4,30.0,35.5,45.5,18311,6257,8021,4198,683,9051,19107,292,89,167,600,360,294,318,207,75,894,142,333,906,739,21.74,535,24,50,33,14,53,1.56,30,5,5,8,3,2,12.74,3.91,30.7,0.07,0.23,41.8,0.09,-9.8,-8.3,1447,52.8,465,14230,12544,40,38,0,Possession Builders,-6.1227322485125155,-0.00688962780276049
Bologna,Serie A,team,1468,1351,81.1,6113,88.8,7530,88.0,1765,57.5,35.2,30.7,58.1,23304,6703,10984,5817,831,13684,33468,422,167,221,591,346,258,215,270,106,849,93,297,679,913,24.03,666,39,53,51,20,103,2.71,78,3,3,9,7,3,13.29,4.37,32.9,0.1,0.3,49.3,0.09,6.7,6.2,1516,48.5,537,19336,17378,42,138,6,Efficient Attackers,2.5321252584412566,0.17041615556401518
