Rk_per100,Team,G,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Rk_shooting,G_shooting,MP_shooting,FG%_shooting,Avg.FGA.Dist.,%.of.FGA.by.Distance_2P,%.of.FGA.by.Distance_0-3ft,%.of.FGA.by.Distance_3-10%,%.of.FGA.by.Distance_10-16ft,%.of.FGA.by.Distance_16-3Pft,%.of.FGA.by.Distance_3P,FG%.by.Distance_2P,FG%.by.Distance_0-3ft,FG%.by.Distance_3-10ft,FG%.by.Distance_10-16ft,FG%.by.Distance_16-3P,FG%.by.Distance_3P,%.of.FG.Ast.d_2P,%.of.FG.Ast.d_3P,dunks_%FGA,dunks_Md.,layups_%FGA,layups_Md.,corner_%3PA,corner_3P%,heaves_Att.,heaves_Md.,Rk,Age,PW,PL,MOV,SOS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,off_eFG%,off_TOV%,ORB%,off_FT/FGA,def_eFG%,def_TOV%,def_DRB%,def_FT/FGA,Arena,Attend.,Attend..G,W,L,WL_pct,GB,PS_per_G,PA_per_G,SRS
1,Cleveland Cavaliers,82,19755,44.5,90.6,0.491,15.9,41.4,0.383,28.6,49.2,0.581,16.9,21.8,0.776,11.2,34.2,45.3,28,8.2,4.3,13.2,18.1,121.7,6,82,19755,0.491,14.9,0.543,0.241,0.19,0.075,0.037,0.457,0.581,0.707,0.503,0.483,0.362,0.383,0.546,0.784,0.066,444,0.234,1005,0.245,0.401,11,1,3,26.6,62,20,9.54,-0.73,121.7,112.2,9.5,99.8,0.241,0.457,0.607,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181,Rocket Arena,796712,19432,64,18,0.78,0,121.9,112.4,8.81
2,Boston Celtics,82,19830,43.2,93.3,0.462,18.4,50,0.368,24.7,43.3,0.571,15.8,19.8,0.799,11.8,35.2,47,27.1,7.4,5.7,12.3,16.5,120.6,2,82,19830,0.462,17,0.464,0.179,0.168,0.073,0.045,0.536,0.571,0.748,0.487,0.424,0.416,0.368,0.505,0.794,0.054,352,0.213,936,0.187,0.393,12,0,2,28.9,62,20,9.11,-0.83,120.6,111.1,9.5,95.7,0.212,0.536,0.591,0.561,10.8,25.7,0.169,0.522,11.6,76,0.154,TD Garden,785396,19156,61,21,0.744,3,116.3,107.2,8.28
3,Oklahoma City Thunder,82,19705,44.6,92.6,0.482,14.5,38.8,0.374,30.1,53.8,0.559,16.7,20.4,0.819,10.6,34.1,44.7,26.8,10.3,5.7,11.7,19.9,120.3,21,82,19705,0.482,14.6,0.581,0.216,0.196,0.123,0.046,0.419,0.559,0.71,0.466,0.5,0.406,0.374,0.482,0.849,0.053,363,0.263,1164,0.213,0.404,5,0,1,24.8,68,14,12.87,-0.16,120.3,107.5,12.8,100,0.22,0.419,0.593,0.56,10.3,24.2,0.18,0.513,14.9,74.6,0.211,Paycom Center,754832,17973,68,14,0.829,0,120.5,107.6,12.7
4,Denver Nuggets,82,19855,45.1,89.1,0.506,11.9,31.7,0.376,33.2,57.4,0.578,17.8,23.1,0.77,11.1,34.3,45.4,30.8,7.9,4.9,14.2,17.5,119.9,8,82,19855,0.506,13.2,0.644,0.265,0.237,0.076,0.067,0.356,0.578,0.715,0.512,0.45,0.413,0.376,0.624,0.846,0.073,465,0.318,1406,0.215,0.431,38,2,9,27,50,32,3.89,0.08,119.9,116,3.9,99.8,0.259,0.356,0.604,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173,Ball Arena,811211,19786,50,32,0.61,18,120.8,116.9,3.97
5,New York Knicks,82,19880,44.3,91.3,0.486,12.9,34.9,0.369,31.5,56.4,0.558,16.9,21.2,0.8,11.1,32.5,43.6,28.1,8.4,4,13.6,17.6,118.5,20,82,19880,0.486,13.5,0.618,0.27,0.196,0.107,0.045,0.382,0.558,0.696,0.445,0.477,0.412,0.369,0.555,0.828,0.057,377,0.275,1170,0.285,0.386,19,0,8,27.5,51,31,4.1,-0.51,118.5,114.3,4.2,96.7,0.232,0.382,0.589,0.556,11.9,26,0.186,0.549,13.1,74.5,0.176,Madison Square Garden (IV),811794,19800,51,31,0.622,13,115.8,111.7,3.59
6,Memphis Grizzlies,82,19705,43.3,90.3,0.479,13.5,36.6,0.367,29.8,53.6,0.556,17.7,22.5,0.786,12.5,33.3,45.7,27.5,8.6,5.4,15.2,20.2,117.7,15,82,19705,0.479,13.9,0.594,0.213,0.269,0.085,0.027,0.406,0.556,0.713,0.475,0.468,0.4,0.367,0.527,0.874,0.05,341,0.261,1159,0.254,0.37,24,1,6,24.7,52,30,4.85,-0.06,117.7,113,4.7,103.3,0.249,0.406,0.588,0.554,13.1,28.7,0.196,0.533,12.9,74.9,0.206,FedEx Forum,683067,16660,48,34,0.585,20,121.7,116.9,4.79
7,Sacramento Kings,82,19880,43.4,90.8,0.478,12.7,35.5,0.357,30.7,55.3,0.555,17.2,21.4,0.806,11.1,33.5,44.6,26.7,7.6,4.4,13.4,19,116.7,26,82,19880,0.478,15,0.609,0.171,0.224,0.123,0.092,0.391,0.555,0.715,0.529,0.479,0.425,0.357,0.511,0.865,0.05,341,0.251,1104,0.233,0.397,13,0,16,27.8,42,40,0.48,0.11,116.7,116.2,0.5,98.2,0.235,0.391,0.582,0.548,11.8,25.4,0.19,0.557,12.5,76.9,0.2,Golden 1 Center,696409,16986,40,42,0.488,28,115.7,115.3,0.58
8,Minnesota Timberwolves,82,19830,41.8,89.3,0.468,15.3,40.7,0.377,26.5,48.7,0.545,17.6,22.3,0.789,11.3,33.9,45.2,26.6,8.1,5.1,14.8,18.6,116.6,18,82,19830,0.468,14.7,0.545,0.238,0.197,0.076,0.034,0.455,0.545,0.714,0.427,0.409,0.34,0.377,0.553,0.782,0.071,446,0.253,1017,0.243,0.398,25,0,4,27.2,53,29,5,0.15,116.6,111.5,5.1,97.3,0.249,0.455,0.588,0.554,13,25.8,0.196,0.532,13.2,75.1,0.178,Target Center,772249,18835,49,33,0.598,19,114.3,109.3,5.15
9,Indiana Pacers,82,19855,43.3,88.7,0.488,13.1,35.5,0.368,30.2,53.2,0.568,16.9,21.4,0.789,9.1,32.4,41.5,29,8.4,5.4,13.1,18.6,116.5,12,82,19855,0.488,14.5,0.6,0.218,0.207,0.111,0.062,0.4,0.568,0.707,0.519,0.473,0.409,0.368,0.597,0.842,0.053,342,0.276,1221,0.25,0.401,22,0,12,25.8,46,36,2.23,-0.55,116.5,114.3,2.2,99.9,0.241,0.4,0.594,0.562,11.8,21.3,0.19,0.546,13.1,74.5,0.19,Gainbridge Fieldhouse,685434,16737,50,32,0.61,14,117.4,115.1,1.68
10,Phoenix Suns,82,19830,42.2,88.2,0.478,14.7,38.8,0.378,27.5,49.4,0.556,17.2,21.2,0.81,9.8,33.7,43.4,28.4,7.4,4.9,14.4,18.3,116.2,24,82,19830,0.478,15.8,0.56,0.143,0.199,0.156,0.061,0.44,0.556,0.756,0.485,0.495,0.478,0.378,0.558,0.889,0.053,321,0.184,759,0.29,0.425,7,0,23,29.1,34,48,-3,0.45,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,0.561,12.8,22.6,0.195,0.552,10.9,74.1,0.191,Footprint Center,699911,17071,36,46,0.439,32,113.6,116.6,-2.55
