Team,actual_wins,predicted_wins
Cleveland Cavaliers,64,62.47053723468081
Boston Celtics,61,60.455626751383306
Oklahoma City Thunder,68,69.5310342202406
Denver Nuggets,50,50.011988633391155
New York Knicks,51,46.66493901141973
Memphis Grizzlies,48,49.578922360326146
Sacramento Kings,40,41.55507968399534
Minnesota Timberwolves,49,50.10756375598331
Indiana Pacers,50,47.04650576436643
Phoenix Suns,36,35.791520584945104
Milwaukee Bucks,48,48.42017805480674
Los Angeles Lakers,50,46.23516927765121
Houston Rockets,52,49.14270269481197
Los Angeles Clippers,50,50.18203274183453
Golden State Warriors,48,45.4096607354295
Detroit Pistons,44,45.469016294024925
Dallas Mavericks,39,40.51466259813009
Atlanta Hawks,40,38.5420160978036
San Antonio Spurs,34,35.21019553043172
Chicago Bulls,39,39.340081840389246
Miami Heat,37,39.25274035758141
Philadelphia 76ers,24,27.617587915035784
Portland Trail Blazers,36,32.79619984817279
Utah Jazz,17,19.38350708830746
Toronto Raptors,30,32.75759645862854
New Orleans Pelicans,21,22.409265674172424
Orlando Magic,41,40.63165581668749
Brooklyn Nets,26,24.065609230336477
Charlotte Hornets,19,20.897681384281142
Washington Wizards,18,18.50872236075091
