PLAYER_NAME,xShot_total,xPoints_total,actual_points,diff
Jayson Tatum,1391.0073746635228,3228.3510384906685,2832,396.35103849066854
Trae Young,1268.1174753425225,2933.910342808674,2844,89.91034280867416
DeMar DeRozan,1382.1660737670359,2863.5097040787573,3096,-232.4902959212427
Giannis Antetokounmpo,1332.8134247505438,2827.1680502531117,2756,71.16805025311169
Devin Booker,1230.918346606119,2792.4026379435036,2648,144.40263794350358
Donovan Mitchell,1146.892505033579,2733.9192535986735,2468,265.91925359867355
Nikola Jokić,1270.7519996347783,2733.287592987852,3056,-322.7124070121481
Luka Dončić,1174.1351042142758,2728.7614436913586,2564,164.76144369135864
Joel Embiid,1264.5061231349107,2698.8853809022526,2664,34.885380902252564
Miles Bridges,1183.1991601378763,2688.5060733527303,2384,304.50607335273025
Anthony Edwards,1123.377014216355,2664.723503141004,2196,468.72350314100413
Karl-Anthony Towns,1182.246006957704,2613.992137979454,2568,45.99213797945413
LeBron James,1155.1978979006778,2611.125168579029,2560,51.12516857902892
Russell Westbrook,1183.0050007921222,2549.0616673670406,2192,357.0616673670406
LaMelo Ball,1072.363356901106,2524.8571330282116,2152,372.8571330282116
Dejounte Murray,1155.7526356150172,2514.139726420051,2292,222.13972642005092
Jaylen Brown,1095.397137911058,2508.0691669309613,2304,204.06916693096127
Julius Randle,1116.898205742393,2503.763065989174,2048,455.7630659891738
RJ Barrett,1107.9250197394401,2500.0521165735568,1948,552.0521165735568
Ja Morant,1156.1725516749239,2484.309293610138,2320,164.30929361013796
Stephen Curry,987.6332195655821,2471.8848544329785,2140,331.8848544329785
Zach LaVine,1054.5581282561889,2434.8392310525956,2260,174.83923105259555
Pascal Siakam,1140.0103318672636,2430.3853474329585,2384,46.3853474329585
Reggie Jackson,1033.307600203738,2418.121987455537,1916,502.1219874555368
Terry Rozier,1001.8763844603166,2418.053150585466,2072,346.053150585466
Nikola Vučević,1052.2310207860432,2327.7504180619117,2184,143.75041806191166
Saddiq Bey,951.5861785007878,2319.9063028586806,1800,519.9063028586806
Darius Garland,1002.022566964523,2306.6952701457044,2168,138.6952701457044
CJ McCollum,977.3392250884145,2280.961112668186,2144,136.96111266818616
Desmond Bane,956.0830376351399,2277.3479045943664,2032,245.34790459436636
Buddy Hield,884.6574845737691,2265.3108225814203,1784,481.3108225814203
Jordan Clarkson,918.8207988395413,2251.2517475713576,1864,387.25174757135755
Tyler Herro,966.063267248353,2234.445781236706,2004,230.4457812367059
Jaren Jackson Jr.,955.316463722595,2187.0692167322677,1720,467.0692167322677
Fred VanVleet,874.1337158216949,2182.753869605486,1768,414.7538696054862
Gary Trent Jr.,899.5475358075029,2179.218001301036,1800,379.2180013010361
Jordan Poole,891.9904222687035,2177.947332941491,1896,281.9473329414909
Kevin Durant,981.0902610101602,2169.2681545987007,2312,-142.73184540129932
Shai Gilgeous-Alexander,979.1196354925846,2161.9585508013824,1908,253.95855080138244
De'Aaron Fox,984.7461875754329,2142.2093405970522,2064,78.20934059705223
Keldon Johnson,921.8668135075699,2121.442930397994,1884,237.44293039799413
Andrew Wiggins,919.0468436020324,2115.251722168982,1900,215.25172216898181
Tobias Harris,959.1216303484142,2110.136802642655,1972,138.13680264265486
Franz Wagner,952.3005339003105,2094.7982293461396,1824,270.7982293461396
Cade Cunningham,912.3486466831382,2071.0098287615097,1716,355.00982876150965
Jalen Green,875.6279903891999,2065.3762393848406,1624,441.3762393848406
Tyrese Maxey,916.1716445900222,2044.2458323990638,1932,112.24583239906383
Kelly Oubre Jr.,821.6226717714115,2029.5345959499489,1640,389.5345959499489
James Harden,855.2498516071344,2019.5923445399596,1628,391.59234453995964
Scottie Barnes,921.9894628516073,1979.0290667991044,1836,143.02906679910438
Khris Middleton,840.7705951296555,1978.6108988200413,1808,170.61089882004126
Jalen Brunson,899.6146244417773,1976.3138788349843,2024,-47.68612116501572
Jonas Valančiūnas,931.860459088197,1971.5407156239457,2040,-68.45928437605426
Christian Wood,869.1440667662104,1967.5316027077126,1760,207.53160270771264
D'Angelo Russell,803.7137286895768,1963.4600561619577,1604,359.4600561619577
Evan Fournier,761.0193230208029,1955.9652364663405,1608,347.96523646634046
Bojan Bogdanovic,806.8272568962999,1948.59274956705,1688,260.5927495670501
Aaron Gordon,874.2778671769194,1932.164815260823,1736,196.16481526082293
Jrue Holiday,842.5810367178395,1906.1052842225806,1912,-5.894715777419378
Brandon Ingram,875.7385138475598,1905.7584630147035,1812,93.75846301470347
Mikal Bridges,836.9486490345929,1901.2620869259672,1832,69.2620869259672
Kyle Kuzma,819.1751272122559,1893.8336423053047,1692,201.8336423053047
Evan Mobley,912.2511420064355,1887.9348830970835,1688,199.93488309708346
Will Barton,783.3252530271141,1866.8266927995546,1568,298.8266927995546
Cole Anthony,782.9016872485529,1831.6723772132914,1428,403.6723772132914
Malik Beasley,682.1771907856037,1816.5976339246824,1328,488.59763392468244
Bobby Portis,786.5672982857478,1810.2246808349544,1668,142.22468083495437
Tyrese Haliburton,773.1131885628654,1810.202929068066,1720,90.20292906806594
Malik Monk,745.6112936142844,1797.4721458687256,1564,233.47214586872565
Harrison Barnes,761.2282494821497,1775.937362919418,1564,211.9373629194181
Domantas Sabonis,830.7937102634545,1747.4020956343206,1772,-24.59790436567937
Caris LeVert,782.6539998700813,1744.2617657508133,1516,228.2617657508133
Jimmy Butler III,823.1692609915146,1728.103959197943,1592,136.1039591979429
Kevin Porter Jr.,711.3972365975549,1706.6926430109895,1340,366.6926430109895
Kentavious Caldwell-Pope,695.443257849606,1679.0428596392383,1444,235.04285963923826
Davion Mitchell,721.0690171635523,1662.9219592608074,1408,254.9219592608074
Bam Adebayo,828.1465563776646,1658.9875034208906,1624,34.98750342089056
Devonte' Graham,627.2604626822729,1640.3578976100616,1184,456.3578976100616
Derrick White,689.7733818967633,1635.831553764936,1348,287.83155376493596
Jae'Sean Tate,745.1722406378333,1632.9637701668612,1452,180.9637701668612
Kristaps Porziņģis,727.7601865688739,1621.690914692342,1408,213.69091469234195
Patty Mills,610.6253298231179,1619.5981116223552,1296,323.5981116223552
Bogdan Bogdanović,637.7314202725088,1596.774694274276,1368,228.77469427427604
Devin Vassell,663.7640958638665,1594.5800892997602,1304,290.5800892997602
Monté Morris,678.3283029762725,1578.730766863193,1496,82.73076686319291
Clint Capela,786.5382586311077,1573.3905659028499,1480,93.39056590284986
Anfernee Simons,635.3523549544005,1572.126643824144,1412,160.1266438241439
Mike Conley,641.0667574710579,1570.4662482302845,1376,194.46624823028446
Lonnie Walker IV,663.1270251358218,1570.2307341049875,1244,326.2307341049875
Deandre Ayton,773.4990608804286,1559.790704294225,1768,-208.20929570577505
Dorian Finney-Smith,625.3659308932288,1558.6817243214862,1304,254.68172432148617
Anthony Davis,753.5608366476345,1554.4166943320088,1480,74.41669433200877
Bradley Beal,701.4716646301684,1548.4420424940881,1392,156.44204249408813
Kevin Huerter,628.7470264863256,1545.5130000825295,1380,165.51300008252952
Terance Mann,695.5846022587394,1537.4671334767863,1336,201.46713347678633
Wendell Carter Jr.,694.6494663603828,1535.4739468167513,1436,99.47394681675132
OG Anunoby,654.7906873866983,1530.8495244776673,1236,294.8495244776673
Duncan Robinson,548.6215339100844,1530.6349482156265,1160,370.63494821562654
Kevin Love,601.2847519067983,1525.3192381970741,1308,217.31923819707413
Luguentz Dort,628.5751679504899,1524.3674795332918,1172,352.36747953329177
Lauri Markkanen,632.0390022756416,1522.1417550630345,1252,270.14175506303445
Jakob Poeltl,754.0029286976292,1508.3258139565696,1640,-131.67418604343038
Darius Bazley,652.1725878319074,1490.8872995891425,1096,394.88729958914246
Spencer Dinwiddie,626.3230053172723,1478.6973112010353,1224,254.6973112010353
Alec Burks,601.2673026280106,1474.9313645323655,1140,334.9313645323655
Marcus Smart,612.7058332200542,1473.4606908269823,1200,273.4606908269823
John Collins,673.0051100700023,1470.496917477962,1356,114.49691747796192
De'Anthony Melton,604.8192925940084,1467.4430856949991,1124,343.4430856949991
Carmelo Anthony,588.2372681180775,1455.1964524343077,1276,179.19645243430773
Seth Curry,596.0983289968115,1454.2990211973415,1440,14.299021197341517
Rudy Gobert,724.7708032460708,1451.380545577082,1448,3.3805455770821027
Dennis Schröder,630.8368785103148,1432.4703661919318,1248,184.47036619193182
Immanuel Quickley,575.6168584433191,1423.1134833773137,1136,287.11348337731374
Mo Bamba,611.2675134401345,1419.388991395637,1184,235.38899139563705
Jarrett Allen,706.1862373964465,1419.3454453304882,1476,-56.654554669511754
Jerami Grant,621.0152386938624,1418.1234504311535,1192,226.12345043115351
Justin Holiday,535.4306288935941,1408.8032747463183,1044,364.80327474631827
Nickeil Alexander-Walker,582.1637260807017,1399.90531980025,1012,387.90531980025
