"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2025,"Alavés","La Liga","Jesús Owono","EQG","GK","24-087",2001,6,5,487,5.4,7,1.29,14,7,57.1,1,1,3,0,0,1,1,0,0,0,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2025,"Alavés","La Liga","Adrian Rodriguez","ESP","GK","24-166",2000,2,1,122,1.4,2,1.48,6,4,83.3,0,1,0,1,100,1,1,0,0,0,"https://fbref.com/en/players/bf17fb4a/Adrian-Rodriguez"
2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","28-289",1996,32,32,2810,31.2,39,1.25,112,75,73.2,9,10,13,8,25,9,9,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2025,"Angers","Ligue 1","Yahia Fofana","CIV","GK","24-279",2000,33,33,2970,33,51,1.55,186,135,74.2,10,6,17,7,21.2,4,3,0,1,0,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
2025,"Angers","Ligue 1","Melvin Zinga","FRA","GK","23-072",2002,1,1,90,1,2,2,4,2,75,0,0,1,0,0,1,1,0,0,0,"https://fbref.com/en/players/1d59fe9c/Melvin-Zinga"
2025,"Arsenal","Premier League","David Raya","ESP","GK","29-254",1995,38,38,3420,38,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0,"https://fbref.com/en/players/98ea5115/David-Raya"
2025,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","32-267",1992,37,37,3194,35.5,45,1.27,142,96,69,18,9,10,8,21.6,2,1,1,0,50,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2025,"Aston Villa","Premier League","Robin Olsen","SWE","GK","35-139",1990,4,1,226,2.5,6,2.39,14,8,64.3,1,0,0,1,100,1,1,0,0,0,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
2025,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","24-330",2000,34,34,3060,34,34,1,129,97,75.2,19,7,8,13,38.2,2,2,0,0,0,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2025,"Atalanta","Serie A","Juan Musso","ARG","GK","31-021",1994,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,NA,"https://fbref.com/en/players/a111cf41/Juan-Musso"
