"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2025,"Alavés","La Liga","Jesús Owono","EQG","GK","24-087",2001,5.4,7,1,0,2,0,5.4,0.37,-1.6,-0.29,46,105,43.8,126,12,55.6,43,36,97.2,67.5,66,6,9.1,2,0.37,8.9,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2025,"Alavés","La Liga","Adrian Rodriguez","ESP","GK","24-166",2000,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100,67.4,33,0,0,0,0,9.8,"https://fbref.com/en/players/bf17fb4a/Adrian-Rodriguez"
2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","28-289",1996,31.2,39,9,2,2,2,39,0.28,2,0.06,297,724,41,735,70,71.8,47.7,229,85.6,60,453,30,6.6,29,0.93,12.7,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2025,"Angers","Ligue 1","Yahia Fofana","CIV","GK","24-279",2000,33,51,3,0,7,0,63.5,0.34,12.5,0.38,144,435,33.1,751,180,38.6,35.8,261,55.6,43.6,531,48,9,20,0.61,10.7,"https://fbref.com/en/players/9d420dad/Yahia-Fofana"
2025,"Angers","Ligue 1","Melvin Zinga","FRA","GK","23-072",2002,1,2,1,0,0,0,2.4,0.41,0.4,0.4,2,11,18.2,22,4,40.9,39,11,18.2,25.6,20,1,5,2,2,16.8,"https://fbref.com/en/players/1d59fe9c/Melvin-Zinga"
2025,"Arsenal","Premier League","David Raya","ESP","GK","29-254",1995,38,34,3,2,8,0,35.1,0.28,1.1,0.03,149,478,31.2,1263,178,29.9,29.9,147,68,49.1,402,53,13.2,66,1.74,17.2,"https://fbref.com/en/players/98ea5115/David-Raya"
2025,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","32-267",1992,35.5,45,1,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2025,"Aston Villa","Premier League","Robin Olsen","SWE","GK","35-139",1990,2.5,6,1,0,0,0,6.3,0.4,0.3,0.12,19,54,35.2,75,1,42.7,35.9,26,84.6,60,40,3,7.5,0,0,8.6,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
2025,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","24-330",2000,34,34,2,0,4,2,36.1,0.28,4.1,0.12,121,374,32.4,878,177,28.2,32.3,201,62.7,48.2,319,21,6.6,45,1.32,14.5,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2025,"Atalanta","Serie A","Juan Musso","ARG","GK","31-021",1994,1,0,0,0,0,0,0.7,0.19,0.7,0.74,4,20,20,19,4,36.8,33.1,14,92.9,56.9,15,0,0,1,1,17.5,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2025,"Atalanta","Serie A","Rui Patrício","POR","GK","37-101",1988,3,3,0,0,0,0,4.2,0.34,1.2,0.41,8,19,42.1,83,12,18.1,27.6,18,22.2,32.1,29,0,0,10,3.33,23.1,"https://fbref.com/en/players/79b0d6a0/Rui-Patricio"
2025,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","24-152",2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32,341,51,37.5,33.9,66,75.8,54.9,143,20,14,17,1.27,14.2,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala"
2025,"Athletic Club","La Liga","Alex Padilla","ESP","GK","21-268",2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4,"https://fbref.com/en/players/a275838a/Alex-Padilla"
2025,"Athletic Club","La Liga","Unai Simón","ESP","GK","27-350",1997,21,14,1,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,533,91,36.2,34.4,117,77.8,58.3,249,19,7.6,28,1.33,15.5,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
2025,"Atlético Madrid","La Liga","Juan Musso","ARG","GK","31-021",1994,2,0,0,0,0,0,0.1,0.05,0.1,0.05,1,9,11.1,46,11,15.2,24,13,15.4,25.2,23,2,8.7,0,0,11.2,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2025,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","32-140",1993,36,30,5,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,670,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
2025,"Augsburg","Bundesliga","Finn Dahmen","GER","GK","27-061",1998,19,19,2,0,3,2,24.2,0.29,7.2,0.38,129,341,37.8,614,51,38.6,34.9,145,71.7,53.2,337,9,2.7,26,1.37,14.7,"https://fbref.com/en/players/dee3013b/Finn-Dahmen"
2025,"Augsburg","Bundesliga","Nediljko Labrović","CRO","GK","25-229",1999,15,32,3,1,2,0,25.9,0.32,-6.1,-0.4,83,220,37.7,397,72,38.8,35.2,105,62.9,47.4,217,12,5.5,18,1.2,13.3,"https://fbref.com/en/players/208fc867/Nediljko-Labrovic"
2025,"Auxerre","Ligue 1","Théo De Percin","MTQ","GK","24-114",2001,2,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,12,83.3,55.3,38,3,7.9,3,1.5,13.1,"https://fbref.com/en/players/afbb55d2/Theo-De-Percin"
2025,"Auxerre","Ligue 1","Donovan Léon","GUF","GK","32-205",1992,32,48,5,0,7,3,55.8,0.32,10.8,0.34,213,649,32.8,935,173,53,42,195,78.5,56.4,518,28,5.4,39,1.22,14.6,"https://fbref.com/en/players/51c83a90/Donovan-Leon"
2025,"Barcelona","La Liga","Iñaki Peña","ESP","GK","26-086",1999,15.5,18,2,0,1,0,16.7,0.29,-1.3,-0.08,23,78,29.5,546,80,10.8,24.7,84,22.6,30.3,143,3,2.1,89,5.74,23.5,"https://fbref.com/en/players/cc1c5035/Inaki-Pena"
2025,"Barcelona","La Liga","Wojciech Szczęsny","POL","GK","35-039",1990,15,12,1,0,1,0,12,0.35,0,0,24,63,38.1,398,61,12.3,25.1,54,25.9,31,130,7,5.4,56,3.73,20.2,"https://fbref.com/en/players/01b8a2b2/Wojciech-Szczesny"
2025,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","33-027",1992,7.5,9,1,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,224,40,12.1,26.5,27,14.8,32,83,5,6,13,1.74,17,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
2025,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","39-061",1986,22,15,1,0,2,0,15,0.33,0,0,92,194,47.4,867,81,20,27.7,56,37.5,37.3,162,6,3.7,40,1.82,19.6,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
2025,"Bayern Munich","Bundesliga","Daniel Peretz","ISR","GK","24-321",2000,3,5,0,0,0,0,4,0.58,-1,-0.32,5,25,20,96,5,25,29.5,7,14.3,29.6,17,0,0,8,2.67,21.2,"https://fbref.com/en/players/3f29b3ba/Daniel-Peretz"
2025,"Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","36-297",1988,1,0,0,0,0,0,0,NA,0,0,3,8,37.5,29,4,27.6,28.2,1,0,9,7,1,14.3,1,1,12.3,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich"
2025,"Bayern Munich","Bundesliga","Jonas Urbig","GER","GK","21-292",2003,8,12,0,0,2,0,10.3,0.38,-1.7,-0.21,30,79,38,263,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,2.63,17.4,"https://fbref.com/en/players/925bbcdc/Jonas-Urbig"
2025,"Betis","La Liga","Adrián","ESP","GK","38-144",1987,19,27,1,2,5,0,26,0.33,-1,-0.05,58,178,32.6,507,91,28,31.2,109,33,33.8,257,14,5.4,16,0.84,11.7,"https://fbref.com/en/players/f76e6b4e/Adrian"
2025,"Betis","La Liga","Rui Silva","POR","GK","31-109",1994,15,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,"https://fbref.com/en/players/ea83bfa6/Rui-Silva"
2025,"Betis","La Liga","Fran Vieites","ESP","GK","26-020",1999,4,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40,38,29,62.1,46.4,65,6,9.2,4,1,12.8,"https://fbref.com/en/players/2ae958ab/Fran-Vieites"
2025,"Bochum","Bundesliga","Patrick Drewes","GER","GK","32-112",1993,21,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45,681,65,50.1,37.6,177,80.8,52.6,285,12,4.2,33,1.57,15.8,"https://fbref.com/en/players/a8403737/Patrick-Drewes"
