"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2025,"Alavés","La Liga","Abdel Abqar","MAR","DF","26-078",1999,27.4,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2025,"Alavés","La Liga","Carles Aleñá","ESP","MF,FW","27-142",1998,12.1,472,450,22,8,6,0,31,2,11,5,5,0,359,0,21,"https://fbref.com/en/players/6c811eb7/Carles-Alena"
2025,"Alavés","La Liga","Carlos Benavídez","URU","MF","27-058",1998,5.4,232,225,5,2,5,1,1,1,0,0,0,0,161,2,5,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2025,"Alavés","La Liga","Antonio Blanco","ESP","MF","24-308",2000,30.3,1278,1207,63,53,5,23,29,7,0,0,0,0,1013,8,24,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2025,"Alavés","La Liga","Pau Cabanes","ESP","MF,FW","20-099",2005,2.1,84,79,4,1,0,0,12,3,0,0,0,0,59,1,4,"https://fbref.com/en/players/53440b64/Pau-Cabanes"
2025,"Alavés","La Liga","Tomás Conechny","ARG","FW,MF","27-058",1998,9.4,329,310,16,0,2,0,31,12,3,0,3,0,210,3,13,"https://fbref.com/en/players/f61143dd/Tomas-Conechny"
2025,"Alavés","La Liga","Moussa Diarra","MLI","DF","24-198",2000,20.7,835,711,120,29,0,6,23,90,0,0,0,0,670,4,14,"https://fbref.com/en/players/698f11e3/Moussa-Diarra"
2025,"Alavés","La Liga","Facundo Garcés","ARG","DF","25-264",1999,7.5,197,185,12,11,0,0,1,1,0,0,0,0,150,0,2,"https://fbref.com/en/players/20c88f8f/Facundo-Garces"
2025,"Alavés","La Liga","Ander Guevara","ESP","MF","27-324",1997,21.6,995,950,37,22,0,6,5,2,0,0,0,0,762,8,19,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2025,"Alavés","La Liga","Jon Guridi","ESP","MF,FW","30-088",1995,23.1,737,704,28,7,2,0,17,4,5,1,3,0,547,5,18,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2025,"Alavés","La Liga","Joan Jordán","ESP","MF","30-325",1994,15.7,915,761,151,66,0,18,106,3,63,26,31,1,685,3,16,"https://fbref.com/en/players/2a0c8ba4/Joan-Jordan"
2025,"Alavés","La Liga","Kiké","ESP","FW","35-183",1989,28.2,588,571,14,2,4,6,13,1,0,0,0,0,384,3,18,"https://fbref.com/en/players/e897d8ba/Kike"
2025,"Alavés","La Liga","Carlos Martín","ESP","FW,MF","23-035",2002,14.8,400,394,6,2,4,2,24,4,0,0,0,0,261,0,23,"https://fbref.com/en/players/64035864/Carlos-Martin"
2025,"Alavés","La Liga","Toni Martínez","ESP","FW","27-331",1997,11.2,240,227,10,0,2,3,7,1,0,0,0,0,140,3,2,"https://fbref.com/en/players/f3945e07/Toni-Martinez"
2025,"Alavés","La Liga","Santiago Mouriño","URU","DF","23-103",2002,20.5,691,638,50,23,2,3,4,23,0,0,0,0,539,3,8,"https://fbref.com/en/players/91ee5785/Santiago-Mourino"
2025,"Alavés","La Liga","Hugo Novoa","ESP","DF,MF","22-146",2003,2.6,69,59,10,0,0,1,7,10,0,0,0,0,53,0,3,"https://fbref.com/en/players/5458f670/Hugo-Novoa"
2025,"Alavés","La Liga","Jesús Owono","EQG","GK","24-087",2001,5.4,163,108,54,18,1,0,0,0,0,0,0,0,99,1,1,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2025,"Alavés","La Liga","Pica","ESP","DF","23-146",2002,5.5,201,188,12,4,0,1,2,1,0,0,0,0,155,1,2,"https://fbref.com/en/players/9b30eda5/Pica"
2025,"Alavés","La Liga","Abderrahman Rebbach","ALG","FW,MF","26-289",1998,4.3,118,108,10,1,0,1,17,2,7,4,0,0,74,0,6,"https://fbref.com/en/players/9a796115/Abderrahman-Rebbach"
2025,"Alavés","La Liga","Luis Rioja","ESP","FW","31-223",1993,0.3,11,9,2,1,0,0,6,1,0,0,0,0,5,0,0,"https://fbref.com/en/players/eb3dd471/Luis-Rioja"
2025,"Alavés","La Liga","Adrian Rodriguez","ESP","GK","24-166",2000,1.4,50,13,37,13,0,0,0,0,0,0,0,0,19,0,1,"https://fbref.com/en/players/bf17fb4a/Adrian-Rodriguez"
2025,"Alavés","La Liga","Luka Romero","ARG","FW,MF","20-190",2004,2.2,49,43,6,1,0,0,10,0,4,0,3,0,34,0,1,"https://fbref.com/en/players/ca6edaa0/Luka-Romero"
2025,"Alavés","La Liga","Manu Sánchez","ESP","DF","24-276",2000,29.3,1117,824,285,19,1,3,78,262,4,1,2,0,807,8,43,"https://fbref.com/en/players/ffacd3d5/Manu-Sanchez"
2025,"Alavés","La Liga","Aleksandar Sedlar","SRB","DF","33-165",1991,6.6,236,224,12,7,0,1,0,3,0,0,0,0,195,0,1,"https://fbref.com/en/players/a35134ae/Aleksandar-Sedlar"
2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","28-289",1996,31.2,967,585,379,150,0,0,0,0,0,0,0,0,521,3,1,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2025,"Alavés","La Liga","Stoichkov","ESP","MF,FW","31-203",1993,7.8,214,204,9,0,6,1,13,0,0,0,0,0,132,1,13,"https://fbref.com/en/players/4e257184/Stoichkov"
2025,"Alavés","La Liga","Nahuel Tenaglia","ARG","DF","29-095",1996,32.5,1410,1044,358,11,0,4,85,344,0,0,0,0,1017,8,35,"https://fbref.com/en/players/66654daa/Nahuel-Tenaglia"
2025,"Alavés","La Liga","Carlos Vicente","ESP","FW,MF","26-034",1999,34.4,1140,950,181,46,3,2,269,50,85,24,43,5,720,9,67,"https://fbref.com/en/players/90df343e/Carlos-Vicente"
