"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","Url"
2025,"Alavés","La Liga","Abdel Abqar","MAR","DF","26-078",1999,29,2463,85,72,27.4,29,85,24,0,NA,0,1.03,30,41,-11,-0.4,-0.5,32,33.4,-1.4,-0.05,0.21,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2025,"Alavés","La Liga","Carles Aleñá","ESP","MF,FW","27-142",1998,14,1090,78,31.9,12.1,13,82,5,1,18,1,1.29,11,12,-1,-0.08,0.27,16.4,14.8,1.5,0.13,0.35,"https://fbref.com/en/players/6c811eb7/Carles-Alena"
2025,"Alavés","La Liga","Carlos Benavídez","URU","MF","27-058",1998,18,487,27,14.2,5.4,6,59,1,12,11,12,1.32,7,11,-4,-0.74,-0.56,5.9,7.2,-1.3,-0.23,-0.14,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2025,"Alavés","La Liga","Antonio Blanco","ESP","MF","24-308",2000,35,2727,78,79.7,30.3,32,83,19,3,19,1,1.14,24,39,-15,-0.5,-1.14,33.4,37.4,-4,-0.13,-0.11,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2025,"Alavés","La Liga","Pau Cabanes","ESP","MF,FW","20-099",2005,6,188,31,5.5,2.1,2,52,0,4,21,11,0.5,1,2,-1,-0.48,-0.23,2.9,3.1,-0.2,-0.1,0.01,"https://fbref.com/en/players/53440b64/Pau-Cabanes"
2025,"Alavés","La Liga","Tomás Conechny","ARG","FW,MF","27-058",1998,22,847,39,24.8,9.4,9,64,1,13,21,9,1.09,11,16,-5,-0.53,-0.36,10.3,11.9,-1.6,-0.17,-0.08,"https://fbref.com/en/players/f61143dd/Tomas-Conechny"
2025,"Alavés","La Liga","Moussa Diarra","MLI","DF","24-198",2000,26,1866,72,54.6,20.7,20,89,18,6,16,8,0.81,21,31,-10,-0.48,-0.48,21.6,26.7,-5.1,-0.25,-0.3,"https://fbref.com/en/players/698f11e3/Moussa-Diarra"
2025,"Alavés","La Liga","Daouda Doumbia","MLI","MF","23-146",2002,0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f8672605/Daouda-Doumbia"
2025,"Alavés","La Liga","Facundo Garcés","ARG","DF","25-264",1999,10,678,68,19.8,7.5,7,90,7,3,16,10,1.7,5,5,0,0,0.33,7.6,10.2,-2.6,-0.35,-0.29,"https://fbref.com/en/players/20c88f8f/Facundo-Garces"
2025,"Alavés","La Liga","Ander Guevara","ESP","MF","27-324",1997,33,1947,59,56.9,21.6,20,80,10,13,27,5,1.12,24,24,0,0,0.61,24,25.7,-1.7,-0.08,0.07,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2025,"Alavés","La Liga","Jon Guridi","ESP","MF,FW","30-088",1995,33,2080,63,60.8,23.1,27,72,5,6,23,3,1.15,24,27,-3,-0.13,0.34,24.7,24,0.7,0.03,0.36,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2025,"Alavés","La Liga","Alejandro Jay Agustín","ESP","MF","22-324",2002,0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9e85dbeb/Alejandro-Jay-Agustin"
