"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2025,"Alavés","La Liga","Abdel Abqar","MAR","DF","26-078",1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0,0.04,0.04,0,0.04,0.03,0.01,0.04,0.03,0.04,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2025,"Alavés","La Liga","Carles Aleñá","ESP","MF,FW","27-142",1998,14,13,1090,12.1,0,2,2,0,0,0,1,0,0.7,0.7,1.3,2,18,58,43,0,0.17,0.17,0,0.17,0.06,0.11,0.17,0.06,0.17,"https://fbref.com/en/players/6c811eb7/Carles-Alena"
2025,"Alavés","La Liga","Carlos Benavídez","URU","MF","27-058",1998,18,6,487,5.4,1,1,2,1,0,0,3,0,0.3,0.3,0.6,0.9,4,26,5,0.18,0.18,0.37,0.18,0.37,0.05,0.11,0.16,0.05,0.16,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2025,"Alavés","La Liga","Antonio Blanco","ESP","MF","24-308",2000,35,32,2727,30.3,0,1,1,0,0,0,11,1,0.8,0.8,1.6,2.4,13,146,19,0,0.03,0.03,0,0.03,0.03,0.05,0.08,0.03,0.08,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2025,"Alavés","La Liga","Pau Cabanes","ESP","MF,FW","20-099",2005,6,2,188,2.1,0,0,0,0,0,0,1,0,0,0,0,0.1,15,5,15,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,"https://fbref.com/en/players/53440b64/Pau-Cabanes"
2025,"Alavés","La Liga","Tomás Conechny","ARG","FW,MF","27-058",1998,22,9,847,9.4,1,0,1,1,0,0,8,0,2.4,2.4,0.3,2.7,14,23,61,0.11,0,0.11,0.11,0.11,0.26,0.03,0.29,0.26,0.29,"https://fbref.com/en/players/f61143dd/Tomas-Conechny"
2025,"Alavés","La Liga","Moussa Diarra","MLI","DF","24-198",2000,26,20,1866,20.7,0,0,0,0,0,0,6,0,0,0,0.1,0.2,12,70,31,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/698f11e3/Moussa-Diarra"
2025,"Alavés","La Liga","Facundo Garcés","ARG","DF","25-264",1999,10,7,678,7.5,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.9,3,12,3,0,0,0,0,0,0.01,0.11,0.12,0.01,0.12,"https://fbref.com/en/players/20c88f8f/Facundo-Garces"
2025,"Alavés","La Liga","Ander Guevara","ESP","MF","27-324",1997,33,20,1947,21.6,0,1,1,0,0,0,3,0,0.9,0.9,0.6,1.5,14,112,19,0,0.05,0.05,0,0.05,0.04,0.03,0.07,0.04,0.07,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2025,"Alavés","La Liga","Jon Guridi","ESP","MF,FW","30-088",1995,33,27,2080,23.1,3,1,4,2,1,1,6,0,4.2,3.4,1.2,4.6,27,79,90,0.13,0.04,0.17,0.09,0.13,0.18,0.05,0.23,0.15,0.2,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2025,"Alavés","La Liga","Joan Jordán","ESP","MF","30-325",1994,25,15,1414,15.7,5,2,7,2,3,4,4,0,4.8,1.6,2.3,4,7,104,35,0.32,0.13,0.45,0.13,0.25,0.3,0.15,0.45,0.1,0.25,"https://fbref.com/en/players/2a0c8ba4/Joan-Jordan"
2025,"Alavés","La Liga","Kiké","ESP","FW","35-183",1989,35,29,2542,28.2,13,0,13,10,3,3,5,1,9.6,7.2,0.9,8.2,25,50,158,0.46,0,0.46,0.35,0.35,0.34,0.03,0.37,0.26,0.29,"https://fbref.com/en/players/e897d8ba/Kike"
2025,"Alavés","La Liga","Carlos Martín","ESP","FW,MF","23-035",2002,26,16,1333,14.8,2,2,4,2,0,0,3,0,2.3,2.3,2.7,5,13,21,67,0.14,0.14,0.27,0.14,0.27,0.15,0.19,0.34,0.15,0.34,"https://fbref.com/en/players/64035864/Carlos-Martin"
2025,"Alavés","La Liga","Toni Martínez","ESP","FW","27-331",1997,28,9,1012,11.2,4,0,4,4,0,0,1,0,3.6,3.6,0.6,4.2,13,11,57,0.36,0,0.36,0.36,0.36,0.32,0.05,0.37,0.32,0.37,"https://fbref.com/en/players/f3945e07/Toni-Martinez"
2025,"Alavés","La Liga","Santiago Mouriño","URU","DF","23-103",2002,25,20,1849,20.5,0,1,1,0,0,0,7,0,0.9,0.9,0.9,1.8,14,46,1,0,0.05,0.05,0,0.05,0.05,0.04,0.09,0.05,0.09,"https://fbref.com/en/players/91ee5785/Santiago-Mourino"
2025,"Alavés","La Liga","Hugo Novoa","ESP","DF,MF","22-146",2003,5,2,237,2.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,7,2,10,0,0,0,0,0,0.18,0.07,0.26,0.18,0.26,"https://fbref.com/en/players/5458f670/Hugo-Novoa"
2025,"Alavés","La Liga","Jesús Owono","EQG","GK","24-087",2001,6,5,487,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2025,"Alavés","La Liga","Pica","ESP","DF","23-146",2002,9,5,499,5.5,0,0,0,0,0,0,1,0,0.3,0.3,0,0.4,3,15,0,0,0,0,0,0,0.06,0.01,0.06,0.06,0.06,"https://fbref.com/en/players/9b30eda5/Pica"
2025,"Alavés","La Liga","Abderrahman Rebbach","ALG","FW,MF","26-289",1998,8,4,385,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,16,5,34,0,0,0,0,0,0.04,0.07,0.11,0.04,0.11,"https://fbref.com/en/players/9a796115/Abderrahman-Rebbach"
2025,"Alavés","La Liga","Luis Rioja","ESP","FW","31-223",1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,1,3,0,0,0,0,0,0,0.57,0.57,0,0.57,"https://fbref.com/en/players/eb3dd471/Luis-Rioja"
2025,"Alavés","La Liga","Adrian Rodriguez","ESP","GK","24-166",2000,2,1,122,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/bf17fb4a/Adrian-Rodriguez"
2025,"Alavés","La Liga","Luka Romero","ARG","FW,MF","20-190",2004,6,2,199,2.2,0,0,0,0,0,1,0,0,0.8,0,0.2,0.2,3,0,12,0,0,0,0,0,0.37,0.08,0.45,0.01,0.09,"https://fbref.com/en/players/ca6edaa0/Luka-Romero"
2025,"Alavés","La Liga","Manu Sánchez","ESP","DF","24-276",2000,33,30,2634,29.3,1,0,1,1,0,0,6,1,1.7,1.7,1.2,2.9,47,78,97,0.03,0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1,"https://fbref.com/en/players/ffacd3d5/Manu-Sanchez"
2025,"Alavés","La Liga","Aleksandar Sedlar","SRB","DF","33-165",1991,9,7,594,6.6,0,0,0,0,0,0,1,1,0,0,0,0,2,12,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a35134ae/Aleksandar-Sedlar"
2025,"Alavés","La Liga","Antonio Sivera","ESP","GK","28-289",1996,32,32,2810,31.2,0,0,0,0,0,0,6,1,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2025,"Alavés","La Liga","Stoichkov","ESP","MF,FW","31-203",1993,16,6,699,7.8,0,1,1,0,0,0,1,0,1.1,1.1,1.2,2.3,9,26,41,0,0.13,0.13,0,0.13,0.14,0.15,0.3,0.14,0.3,"https://fbref.com/en/players/4e257184/Stoichkov"
2025,"Alavés","La Liga","Nahuel Tenaglia","ARG","DF","29-095",1996,34,33,2922,32.5,2,1,3,2,0,0,11,0,2.2,2.2,1.6,3.7,42,103,98,0.06,0.03,0.09,0.06,0.09,0.07,0.05,0.12,0.07,0.12,"https://fbref.com/en/players/66654daa/Nahuel-Tenaglia"
2025,"Alavés","La Liga","Carlos Vicente","ESP","FW,MF","26-034",1999,37,35,3092,34.4,5,5,10,4,1,1,3,0,3.5,2.7,5.4,8.1,104,68,226,0.15,0.15,0.29,0.12,0.26,0.1,0.16,0.26,0.08,0.24,"https://fbref.com/en/players/90df343e/Carlos-Vicente"
2025,"Alavés","La Liga","Asier Villalibre","ESP","FW","27-239",1997,16,2,333,3.7,1,1,2,0,1,1,2,0,1.6,0.8,1,1.8,4,7,18,0.27,0.27,0.54,0,0.27,0.43,0.27,0.69,0.21,0.48,"https://fbref.com/en/players/57be54ec/Asier-Villalibre"
2025,"Angers","Ligue 1","Himad Abdelli","ALG","MF,FW","25-191",1999,32,32,2842,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.1,0.13,0.2,0.1,0.3,0.1,0.2,"https://fbref.com/en/players/7978cbf0/Himad-Abdelli"
2025,"Angers","Ligue 1","Jean-Eudes Aholou","CIV","MF","31-068",1994,26,26,1959,21.8,2,0,2,2,0,0,7,0,1.8,1.8,1,2.8,15,68,16,0.09,0,0.09,0.09,0.09,0.08,0.05,0.13,0.08,0.13,"https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou"
2025,"Angers","Ligue 1","Jim Allevinah","GAB","FW","30-089",1995,28,23,1750,19.4,1,3,4,1,0,0,3,0,4.2,4.2,2.5,6.7,57,48,99,0.05,0.15,0.21,0.05,0.21,0.22,0.13,0.35,0.22,0.35,"https://fbref.com/en/players/1956b948/Jim-Allevinah"
2025,"Angers","Ligue 1","Carlens Arcus","HAI","DF","28-333",1996,28,25,2047,22.7,0,1,1,0,0,0,3,0,0,0,1.4,1.4,39,70,79,0,0.04,0.04,0,0.04,0,0.06,0.06,0,0.06,"https://fbref.com/en/players/5e837126/Carlens-Arcus"
