"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2025,"Alavés","La Liga","team",29,38,737,459,346,307,84,348,726,47.9,378,382,96,286,309,1046,918,10,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",29,38,552,328,258,224,70,245,430,57,185,380,89,291,287,839,1123,16,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",30,34,624,392,340,202,82,294,607,48.4,313,365,116,249,336,960,903,20,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",30,34,628,389,241,275,112,331,580,57.1,249,315,87,228,251,879,674,22,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",25,38,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",25,38,698,420,406,214,78,316,636,49.7,320,410,180,230,261,959,1038,38,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",28,38,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",28,38,685,387,322,258,105,299,626,47.8,327,419,136,283,347,1032,869,30,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",32,38,571,347,238,260,73,272,506,53.8,234,360,98,262,296,867,679,16,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",32,38,692,399,381,244,67,330,587,56.2,257,387,125,262,330,1022,895,28,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",31,38,577,345,240,252,85,296,579,51.1,283,353,72,281,344,921,911,25,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",31,38,789,471,428,289,72,388,716,54.2,328,348,112,236,361,1150,951,24,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",24,38,619,375,305,238,76,319,627,50.9,308,358,97,261,260,879,818,25,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",24,38,579,365,276,206,97,305,581,52.5,276,437,110,327,369,948,969,35,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Augsburg","Bundesliga","team",29,34,464,300,198,202,64,233,430,54.2,197,417,121,296,341,805,971,16,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Augsburg","Bundesliga","opponent",29,34,577,357,254,250,73,280,508,55.1,228,418,97,321,270,847,857,17,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Auxerre","Ligue 1","team",29,34,657,403,330,232,95,316,606,52.1,290,394,125,269,350,1007,944,17,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Auxerre","Ligue 1","opponent",29,34,670,414,293,257,120,324,582,55.7,258,355,91,264,279,949,702,17,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Barcelona","La Liga","team",28,38,538,332,186,245,107,271,520,52.1,249,329,60,269,227,765,601,14,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Barcelona","La Liga","opponent",28,38,691,405,378,245,68,375,830,45.2,455,497,175,322,381,1072,1016,38,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Bayern Munich","Bundesliga","team",29,34,506,300,166,233,107,250,450,55.6,200,318,52,266,232,738,518,23,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Bayern Munich","Bundesliga","opponent",29,34,618,353,335,210,73,354,737,48,383,473,163,310,404,1022,942,30,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Betis","La Liga","team",36,38,645,397,271,273,101,342,644,53.1,302,406,113,293,356,1001,910,19,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Betis","La Liga","opponent",36,38,722,459,362,285,75,344,656,52.4,312,458,132,326,332,1054,866,19,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Bochum","Bundesliga","team",27,34,600,360,318,207,75,306,572,53.5,266,475,142,333,294,894,906,23,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bochum","Bundesliga","opponent",27,34,474,308,211,203,60,239,406,58.9,167,430,125,305,300,774,1068,17,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
