"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
2025,"Alavés","La Liga","team",29,38,107,5,2,623,476,77,798,309,459,8,11,2,1499,639,694,47.9,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",29,38,107,5,0,504,590,64,722,287,328,6,11,0,1420,694,639,52.1,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",30,34,49,2,0,380,398,69,575,336,392,6,5,0,1414,334,428,43.8,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",30,34,79,7,4,420,361,26,719,251,389,4,6,1,1504,428,334,56.2,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",25,38,70,6,3,401,405,80,766,225,348,2,3,0,1436,471,465,50.3,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",25,38,83,2,1,416,390,38,534,261,420,3,2,2,1337,465,471,49.7,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",28,38,76,4,2,406,499,55,604,240,372,6,3,0,1418,378,423,47.2,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",28,38,104,2,1,510,394,93,683,347,387,2,6,2,1539,423,378,52.8,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",32,38,67,1,1,435,393,54,778,296,347,5,2,2,1732,585,490,54.4,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",32,38,51,2,1,416,416,50,458,330,399,1,7,2,1618,490,585,45.6,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",31,38,64,3,1,483,386,68,772,344,345,5,5,1,1735,496,514,49.1,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",31,38,83,4,2,406,462,84,592,361,471,5,6,1,1624,514,496,50.9,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",24,38,75,3,0,412,427,72,675,260,375,4,5,2,1563,445,420,51.4,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",24,38,68,0,0,450,384,37,656,369,365,3,7,0,1547,420,445,48.6,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Augsburg","Bundesliga","team",29,34,78,5,2,351,373,59,578,341,300,2,5,2,1441,529,491,51.9,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Augsburg","Bundesliga","opponent",29,34,50,3,2,378,331,57,712,270,357,2,2,0,1450,491,529,48.1,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Auxerre","Ligue 1","team",29,34,68,4,1,404,362,48,542,350,403,4,8,3,1492,412,422,49.4,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Auxerre","Ligue 1","opponent",29,34,50,4,1,387,380,83,660,279,414,7,5,1,1567,422,412,50.6,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Barcelona","La Liga","team",28,38,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Barcelona","La Liga","opponent",28,38,89,2,0,479,351,181,482,381,405,4,8,3,1499,339,380,47.1,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Bayern Munich","Bundesliga","team",29,34,48,1,0,295,341,56,612,232,300,6,2,0,1665,418,344,54.9,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Bayern Munich","Bundesliga","opponent",29,34,65,2,2,357,283,44,334,404,353,1,10,3,1315,344,418,45.1,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Betis","La Liga","team",36,38,75,4,0,433,524,56,627,356,397,9,4,1,1679,464,478,49.3,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Betis","La Liga","opponent",36,38,102,7,3,552,408,92,683,332,459,3,10,2,1618,478,464,50.7,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Bochum","Bundesliga","team",27,34,71,2,1,465,293,63,679,294,360,3,6,0,1447,744,665,52.8,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bochum","Bundesliga","opponent",27,34,44,4,0,302,448,63,595,300,308,5,3,0,1462,665,744,47.2,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bologna","Serie A","team",30,38,61,4,1,537,604,63,756,258,346,6,3,2,1516,579,616,48.5,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bologna","Serie A","opponent",30,38,95,3,1,643,502,51,421,305,375,1,7,1,1343,616,579,51.5,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bournemouth","Premier League","team",29,38,97,3,0,525,400,70,832,351,399,7,4,0,1821,573,606,48.6,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Bournemouth","Premier League","opponent",29,38,94,5,3,410,510,42,601,279,396,3,7,1,1662,606,573,51.4,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
2025,"Brentford","Premier League","team",28,38,62,1,0,320,339,63,674,285,380,6,1,3,1644,624,567,52.4,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brentford","Premier League","opponent",28,38,82,3,2,355,316,58,793,287,362,1,6,1,1678,567,624,47.6,"https://fbref.com/en/squads/cd051869/2024-2025/Brentford-Stats"
2025,"Brest","Ligue 1","team",30,34,69,3,1,430,413,42,641,316,426,5,10,2,1471,534,508,51.2,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brest","Ligue 1","opponent",30,34,63,2,0,443,404,59,639,300,294,6,9,0,1466,508,534,48.8,"https://fbref.com/en/squads/fb08dbb3/2024-2025/Brest-Stats"
2025,"Brighton","Premier League","team",32,38,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Brighton","Premier League","opponent",32,38,93,5,4,427,421,88,543,320,408,7,7,2,1532,463,518,47.2,"https://fbref.com/en/squads/d07537b9/2024-2025/Brighton-and-Hove-Albion-Stats"
2025,"Cagliari","Serie A","team",28,38,68,3,3,500,397,65,758,276,303,2,6,0,1522,606,600,50.2,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Cagliari","Serie A","opponent",28,38,61,5,1,423,469,72,692,268,338,3,3,2,1578,600,606,49.8,"https://fbref.com/en/squads/c4260e09/2024-2025/Cagliari-Stats"
2025,"Celta Vigo","La Liga","team",30,38,84,6,3,462,436,67,501,282,340,6,4,2,1532,375,439,46.1,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Celta Vigo","La Liga","opponent",30,38,88,7,2,455,447,75,667,390,382,2,9,1,1698,439,375,53.9,"https://fbref.com/en/squads/f25da7fb/2024-2025/Celta-Vigo-Stats"
2025,"Chelsea","Premier League","team",29,38,101,2,1,436,444,65,663,272,371,5,6,0,1577,402,390,50.8,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Chelsea","Premier League","opponent",29,38,98,2,1,457,422,88,543,286,368,6,5,3,1483,390,402,49.2,"https://fbref.com/en/squads/cff3d9bb/2024-2025/Chelsea-Stats"
2025,"Como","Serie A","team",38,38,87,7,3,503,518,65,568,279,412,1,7,0,1547,472,487,49.2,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Como","Serie A","opponent",38,38,95,5,4,547,475,74,571,325,385,5,2,5,1502,487,472,50.8,"https://fbref.com/en/squads/28c9c3cd/2024-2025/Como-Stats"
2025,"Crystal Palace","Premier League","team",29,38,80,4,3,417,403,74,605,334,450,4,2,3,1698,511,636,44.6,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Crystal Palace","Premier League","opponent",29,38,84,4,3,418,398,47,716,342,319,2,4,2,1723,636,511,55.4,"https://fbref.com/en/squads/47c64c55/2024-2025/Crystal-Palace-Stats"
2025,"Dortmund","Bundesliga","team",28,34,71,6,3,330,343,43,698,249,319,5,4,1,1480,474,418,53.1,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Dortmund","Bundesliga","opponent",28,34,65,5,2,357,321,93,551,312,374,4,6,2,1424,418,474,46.9,"https://fbref.com/en/squads/add600ae/2024-2025/Dortmund-Stats"
2025,"Eint Frankfurt","Bundesliga","team",26,34,55,1,1,341,304,57,539,287,341,2,3,2,1486,467,437,51.7,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Eint Frankfurt","Bundesliga","opponent",26,34,58,3,0,324,329,99,677,264,323,3,5,0,1479,437,467,48.3,"https://fbref.com/en/squads/f0ac8ee6/2024-2025/Eintracht-Frankfurt-Stats"
2025,"Empoli","Serie A","team",34,38,68,5,2,570,459,57,620,323,396,3,3,1,1480,577,710,44.8,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Empoli","Serie A","opponent",34,38,58,3,3,487,541,39,714,255,373,3,3,2,1532,710,577,55.2,"https://fbref.com/en/squads/a3d88bd8/2024-2025/Empoli-Stats"
2025,"Espanyol","La Liga","team",27,38,88,1,0,498,432,61,619,315,397,5,6,1,1364,493,504,49.4,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Espanyol","La Liga","opponent",27,38,66,2,0,457,469,53,858,292,309,6,5,2,1576,504,493,50.6,"https://fbref.com/en/squads/a8661628/2024-2025/Espanyol-Stats"
2025,"Everton","Premier League","team",26,38,82,2,1,430,384,81,682,345,433,1,2,0,1524,614,564,52.1,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Everton","Premier League","opponent",26,38,46,2,1,395,420,51,731,235,424,2,2,3,1565,564,614,47.9,"https://fbref.com/en/squads/d3fd31cc/2024-2025/Everton-Stats"
2025,"Fiorentina","Serie A","team",34,38,82,3,2,440,550,88,588,275,313,6,3,1,1436,508,487,51.1,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Fiorentina","Serie A","opponent",34,38,92,7,3,588,426,43,639,237,316,3,8,2,1359,487,508,48.9,"https://fbref.com/en/squads/421387cf/2024-2025/Fiorentina-Stats"
2025,"Freiburg","Bundesliga","team",26,34,54,2,1,316,325,61,589,276,317,3,4,1,1368,596,608,49.5,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Freiburg","Bundesliga","opponent",26,34,59,2,0,345,296,43,604,260,298,2,4,3,1404,608,596,50.5,"https://fbref.com/en/squads/a486e511/2024-2025/Freiburg-Stats"
2025,"Fulham","Premier League","team",26,38,80,2,0,432,359,43,894,302,411,3,4,2,1610,533,532,50,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Fulham","Premier League","opponent",26,38,67,3,1,371,425,83,632,336,306,4,4,1,1585,532,533,50,"https://fbref.com/en/squads/fd962109/2024-2025/Fulham-Stats"
2025,"Genoa","Serie A","team",37,38,71,1,0,497,448,55,663,308,385,1,8,3,1481,666,696,48.9,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Genoa","Serie A","opponent",37,38,75,2,0,478,467,59,682,284,326,3,2,2,1521,696,666,51.1,"https://fbref.com/en/squads/658bf2de/2024-2025/Genoa-Stats"
2025,"Getafe","La Liga","team",30,38,110,7,3,602,506,90,721,276,393,3,9,0,1436,771,738,51.1,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Getafe","La Liga","opponent",30,38,101,5,1,529,561,85,626,282,391,7,5,0,1419,738,771,48.9,"https://fbref.com/en/squads/7848bd64/2024-2025/Getafe-Stats"
2025,"Girona","La Liga","team",30,38,76,2,0,437,439,79,804,279,348,4,6,1,1443,321,344,48.3,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Girona","La Liga","opponent",30,38,80,4,1,460,426,44,607,277,348,6,5,1,1414,344,321,51.7,"https://fbref.com/en/squads/9024a00a/2024-2025/Girona-Stats"
2025,"Gladbach","Bundesliga","team",26,34,53,3,2,339,326,65,617,317,284,5,8,2,1308,530,473,52.8,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Gladbach","Bundesliga","opponent",26,34,46,1,1,338,328,57,750,302,303,6,5,2,1462,473,530,47.2,"https://fbref.com/en/squads/32f3ee20/2024-2025/Monchengladbach-Stats"
2025,"Heidenheim","Bundesliga","team",27,34,66,1,0,385,390,50,581,312,356,3,6,0,1420,553,646,46.1,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Heidenheim","Bundesliga","opponent",27,34,78,2,1,405,371,32,634,243,303,5,5,0,1527,646,553,53.9,"https://fbref.com/en/squads/18d9d2a7/2024-2025/Heidenheim-Stats"
2025,"Hellas Verona","Serie A","team",32,38,98,9,5,579,352,55,562,329,434,1,4,1,1427,671,699,49,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hellas Verona","Serie A","opponent",32,38,53,2,0,374,534,48,687,221,263,2,2,3,1387,699,671,51,"https://fbref.com/en/squads/0e72edf2/2024-2025/Hellas-Verona-Stats"
2025,"Hoffenheim","Bundesliga","team",35,34,66,2,0,391,366,70,732,291,336,2,6,3,1466,577,588,49.5,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Hoffenheim","Bundesliga","opponent",35,34,48,3,3,385,376,41,626,273,321,4,3,0,1427,588,577,50.5,"https://fbref.com/en/squads/033ea6b8/2024-2025/Hoffenheim-Stats"
2025,"Holstein Kiel","Bundesliga","team",27,34,77,4,2,407,350,44,482,294,328,4,7,3,1267,546,607,47.4,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Holstein Kiel","Bundesliga","opponent",27,34,74,2,1,370,390,62,852,237,258,5,5,0,1388,607,546,52.6,"https://fbref.com/en/squads/2ac661d9/2024-2025/Holstein-Kiel-Stats"
2025,"Inter","Serie A","team",26,38,56,1,1,417,405,90,751,227,288,6,4,1,1440,604,419,59,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Inter","Serie A","opponent",26,38,52,4,1,435,393,38,581,259,265,1,9,3,1284,419,604,41,"https://fbref.com/en/squads/d609edc0/2024-2025/Internazionale-Stats"
2025,"Ipswich Town","Premier League","team",32,38,93,5,4,430,404,52,505,303,340,2,6,2,1437,552,533,50.9,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
2025,"Ipswich Town","Premier League","opponent",32,38,65,2,1,414,414,42,778,242,366,6,2,1,1596,533,552,49.1,"https://fbref.com/en/squads/b74092de/2024-2025/Ipswich-Town-Stats"
