"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2025,"Alavés","La Liga","team",29,38,10534,14746,71.4,199550,84871,4546,5494,82.7,4441,5542,80.1,1312,2838,46.2,20,25.4,25.9,-5.4,284,963,229,99,1160,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",29,38,14251,18138,78.6,260653,94982,6140,6970,88.1,6230,7338,84.9,1563,2925,53.4,28,33.3,32.3,-5.3,306,1034,245,97,1323,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",30,34,11082,14057,78.8,195284,73447,4970,5624,88.4,4828,5656,85.4,1022,2043,50,17,23.5,22.7,-6.5,216,777,200,63,953,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",30,34,17341,20419,84.9,292009,95868,8061,8942,90.1,7513,8436,89.1,1314,2102,62.5,40,42.2,46.5,-2.2,365,1390,352,77,1776,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",25,38,17066,20241,84.3,278808,87055,8591,9363,91.8,7129,7999,89.1,1031,2022,51,55,45.3,45.7,9.7,428,1397,437,75,1826,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",25,38,12192,15255,79.9,214595,73593,5573,6249,89.2,5271,6035,87.3,1095,2295,47.7,24,24.5,24.6,-0.5,263,905,197,60,938,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",28,38,14701,17797,82.6,252637,88182,6778,7510,90.3,6555,7386,88.7,1088,2065,52.7,45,41.7,36.9,3.3,358,1137,319,56,1344,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",28,38,14438,17377,83.1,249107,83992,6870,7487,91.8,5962,6755,88.3,1278,2286,55.9,36,36.4,35.8,-0.4,336,1189,295,81,1315,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",32,38,17454,20998,83.1,304878,97688,7796,8669,89.9,7832,8892,88.1,1506,2528,59.6,54,46.9,46.4,7.1,425,1382,395,113,1824,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",32,38,13516,16956,79.7,242842,92365,5825,6592,88.4,6097,6980,87.3,1293,2541,50.9,26,27.5,23.7,-1.5,282,897,199,60,988,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",31,38,13665,17375,78.6,253362,90647,5552,6396,86.8,6520,7522,86.7,1395,2733,51,40,36.7,33.1,3.3,351,1283,274,90,1579,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",31,38,14953,18891,79.2,269493,95206,6402,7284,87.9,6730,7799,86.3,1481,2854,51.9,11,22.9,21.5,-11.9,242,911,205,69,1177,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",24,38,17826,21418,83.2,295213,100382,8814,9752,90.4,6993,7984,87.6,1486,2519,59,51,47.9,45.3,3.1,348,1233,365,96,1559,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",24,38,16246,19538,83.2,291315,95937,7097,7859,90.3,7307,8119,90,1542,2749,56.1,17,23.9,29.8,-6.9,286,1462,282,84,1543,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Augsburg","Bundesliga","team",29,34,11577,14936,77.5,213228,82617,4900,5714,85.8,5187,6033,86,1267,2377,53.3,26,25.1,33.1,0.9,296,905,248,77,1162,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Augsburg","Bundesliga","opponent",29,34,15484,19055,81.3,271400,94371,7005,7819,89.6,6730,7782,86.5,1435,2550,56.3,31,35,41.4,-4,339,1201,323,95,1438,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Auxerre","Ligue 1","team",29,34,11002,14162,77.7,201495,77527,4812,5517,87.2,4576,5349,85.5,1301,2498,52.1,35,32,24.3,3,296,804,212,68,1084,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Auxerre","Ligue 1","opponent",29,34,15891,19181,82.8,270706,93956,7333,8152,90,7068,7979,88.6,1159,2173,53.3,36,43.9,43.8,-7.9,348,1272,301,79,1522,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Barcelona","La Liga","team",28,38,22321,25721,86.8,371914,116385,10452,11341,92.2,9674,10643,90.9,1577,2424,65.1,72,67.5,64.7,4.5,500,2020,479,77,2212,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Barcelona","La Liga","opponent",28,38,8511,11890,71.6,161116,69199,3752,4435,84.6,3313,4086,81.1,1208,2491,48.5,31,32.6,21.8,-1.6,222,595,166,59,780,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Bayern Munich","Bundesliga","team",29,34,22755,25733,88.4,376161,117553,11338,12153,93.3,9489,10320,91.9,1548,2329,66.5,66,59.7,75.9,6.3,511,2131,464,67,2138,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Bayern Munich","Bundesliga","opponent",29,34,9140,12083,75.6,168971,67192,3892,4478,86.9,3959,4689,84.4,1027,2206,46.6,25,18.1,20.4,6.9,174,579,156,36,669,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Betis","La Liga","team",36,38,15770,19284,81.8,264738,91436,7583,8423,90,6318,7291,86.7,1341,2443,54.9,37,37.5,34.8,-0.5,417,1127,329,75,1486,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Betis","La Liga","opponent",36,38,13910,17627,78.9,246914,92271,6224,7089,87.8,6031,7022,85.9,1341,2578,52,32,38.4,32.4,-6.4,309,1110,251,69,1411,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Bochum","Bundesliga","team",27,34,10281,14230,72.2,202499,85811,3889,4696,82.8,4761,5852,81.4,1433,2841,50.4,23,30,35.5,-7,308,865,235,76,1090,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bochum","Bundesliga","opponent",27,34,14057,17796,79,246536,93752,6403,7293,87.8,5999,7045,85.2,1331,2488,53.5,52,49.1,49.6,2.9,374,1121,304,62,1447,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bologna","Serie A","team",30,38,15681,19336,81.1,295869,97686,6113,6881,88.8,7530,8561,88,1765,3072,57.5,43,35.2,30.7,7.8,384,1351,293,109,1468,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bologna","Serie A","opponent",30,38,10464,14028,74.6,193512,77127,4277,5049,84.7,4732,5601,84.5,1160,2491,46.6,32,25.4,22.5,6.6,249,646,166,36,876,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
2025,"Bournemouth","Premier League","team",29,38,12977,16900,76.8,233955,86767,5648,6514,86.7,5659,6670,84.8,1365,2819,48.4,41,43.8,36.5,-2.8,437,1242,339,106,1489,"https://fbref.com/en/squads/4ba7cbea/2024-2025/Bournemouth-Stats"
