"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2025,"Alavés","La Liga","team",29,38,14746,12723,1946,537,45,99,798,834,182,61,90,6,10534,77,368,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",29,38,18138,15935,2139,672,52,139,722,913,177,62,61,1,14251,64,340,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",30,34,14057,12474,1514,422,53,69,575,594,129,52,54,4,11082,69,256,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",30,34,20419,18893,1500,434,52,113,719,641,160,76,66,0,17341,26,298,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",25,38,20241,18608,1553,432,80,74,766,598,251,211,3,2,17066,80,278,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",25,38,15255,13697,1520,461,47,74,534,526,118,70,25,2,12192,38,251,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",28,38,17797,16044,1698,583,95,58,604,497,230,148,24,1,14701,55,346,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",28,38,17377,15839,1445,441,66,96,683,474,172,112,30,5,14438,93,276,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",32,38,20998,19273,1671,455,48,117,778,714,194,85,75,1,17454,54,326,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",32,38,16956,15197,1709,474,63,51,458,664,124,59,39,1,13516,50,298,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",31,38,17375,15511,1796,472,48,116,772,836,193,73,81,1,13665,68,300,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",31,38,18891,16899,1908,528,52,139,592,796,155,54,61,1,14953,84,323,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",24,38,21418,19514,1832,463,76,112,675,789,190,67,65,0,17826,72,388,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",24,38,19538,17845,1656,460,33,124,656,664,144,41,56,0,16246,37,304,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
