"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","Url"
2025,"Alavés","La Liga","team",29,26.6,38,3420,90,100,38,418,82,254,161,21,275,1.11,38,48,-10,-0.26,42.8,47,-4.2,-0.11,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",29,26.9,38,3420,90,100,38,418,82,238,178,24,251,1.58,48,38,10,0.26,47,42.8,4.2,0.11,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",30,27.5,34,3060,90,100,34,374,81,216,157,20,148,1.06,32,53,-21,-0.62,36,57.8,-21.8,-0.64,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",30,25.9,34,3060,90,100,34,374,81,218,151,20,155,1.76,53,32,21,0.62,57.8,36,21.8,0.64,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",25,25.8,38,3420,90,100,38,418,83,272,142,18,200,1.95,69,34,35,0.92,59.9,34.4,25.5,0.67,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",25,26.1,38,3420,90,100,38,418,83,259,157,21,185,0.68,34,69,-35,-0.92,34.4,59.9,-25.5,-0.67,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",28,27,38,3420,90,100,38,418,80,246,170,23,170,1.74,58,51,7,0.18,56.1,50.1,5.9,0.16,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",28,26.3,38,3420,90,100,38,418,80,263,157,18,185,1.03,51,58,-7,-0.18,50.1,56.1,-5.9,-0.16,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",32,27.1,38,3420,90,100,38,418,79,233,185,24,250,1.95,78,37,41,1.08,65,38.6,26.4,0.69,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",32,26.2,38,3420,90,100,38,418,79,242,175,22,289,0.84,37,78,-41,-1.08,38.6,65,-26.4,-0.69,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",31,26.9,38,3420,90,100,38,418,80,226,189,23,253,1.84,54,29,25,0.66,53,37.8,15.2,0.4,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",31,26.6,38,3420,90,100,38,418,80,240,177,21,240,0.82,29,54,-25,-0.66,37.8,53,-15.2,-0.4,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",24,28.4,38,3420,90,100,38,418,78,228,188,27,242,2,68,30,38,1,64.6,33.4,31.2,0.82,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",24,26.8,38,3420,90,100,38,418,78,246,173,20,257,0.74,30,68,-38,-1,33.4,64.6,-31.2,-0.82,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Augsburg","Bundesliga","team",29,26.8,34,3060,90,100,34,374,80,213,157,23,147,1.26,35,51,-16,-0.47,34.7,48.9,-14.2,-0.42,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Augsburg","Bundesliga","opponent",29,26.6,34,3060,90,100,34,374,80,216,158,21,145,1.44,51,35,16,0.47,48.9,34.7,14.2,0.42,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Auxerre","Ligue 1","team",29,25.9,34,3060,90,100,34,374,83,215,155,16,151,1.24,48,51,-3,-0.09,41,58.6,-17.6,-0.52,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Auxerre","Ligue 1","opponent",29,25.9,34,3060,90,100,34,374,83,214,158,20,148,1.5,51,48,3,0.09,58.6,41,17.6,0.52,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
2025,"Barcelona","La Liga","team",28,24.7,38,3420,90,100,38,418,80,237,180,22,254,2.32,102,39,63,1.66,91.5,41.9,49.5,1.3,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Barcelona","La Liga","opponent",28,26.8,38,3420,90,100,38,418,80,238,180,22,246,0.58,39,102,-63,-1.66,41.9,91.5,-49.5,-1.3,"https://fbref.com/en/squads/206d90db/2024-2025/Barcelona-Stats"
2025,"Bayern Munich","Bundesliga","team",29,27.7,34,3060,90,100,34,374,82,224,150,21,155,2.41,99,32,67,1.97,81.7,25.5,56.2,1.65,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Bayern Munich","Bundesliga","opponent",29,26.5,34,3060,90,100,34,374,82,220,153,20,152,0.38,32,99,-67,-1.97,25.5,81.7,-56.2,-1.65,"https://fbref.com/en/squads/054efa67/2024-2025/Bayern-Munich-Stats"
2025,"Betis","La Liga","team",36,27.5,38,3420,90,100,38,418,80,237,179,22,230,1.58,57,50,7,0.18,54.7,50.6,4.1,0.11,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Betis","La Liga","opponent",36,27,38,3420,90,100,38,418,80,231,181,21,246,1.11,50,57,-7,-0.18,50.6,54.7,-4.1,-0.11,"https://fbref.com/en/squads/fc536746/2024-2025/Real-Betis-Stats"
2025,"Bochum","Bundesliga","team",27,28,34,3060,90,100,34,374,81,218,154,20,152,0.74,33,67,-34,-1,41.8,63.2,-21.3,-0.63,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bochum","Bundesliga","opponent",27,26.5,34,3060,90,100,34,374,81,215,158,20,144,2.06,67,33,34,1,63.2,41.8,21.3,0.63,"https://fbref.com/en/squads/b42c6323/2024-2025/Bochum-Stats"
2025,"Bologna","Serie A","team",30,26.4,38,3420,90,100,38,418,80,230,185,21,335,1.63,57,47,10,0.26,49.3,36.7,12.6,0.33,"https://fbref.com/en/squads/1d8099f8/2024-2025/Bologna-Stats"
