"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
2025,"Alavés","La Liga","team",29,26.6,45.3,38,418,3420,38,38,20,58,29,9,11,107,5,42.8,34.1,25.4,59.5,449,1160,1,0.53,1.53,0.76,1.29,1.13,0.67,1.79,0.9,1.57,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Alavés","La Liga","opponent",29,26.9,54.7,38,418,3420,38,46,28,74,35,11,11,107,5,47,38.5,33.3,71.8,573,1323,1.21,0.74,1.95,0.92,1.66,1.24,0.88,2.11,1.01,1.89,"https://fbref.com/en/squads/8d6fd021/2024-2025/Alaves-Stats"
2025,"Angers","Ligue 1","team",30,27.5,41.2,34,374,3060,34,31,17,48,26,5,6,49,2,36,31.3,23.5,54.7,502,953,0.91,0.5,1.41,0.76,1.26,1.06,0.69,1.75,0.92,1.61,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Angers","Ligue 1","opponent",30,25.9,58.8,34,374,3060,34,53,40,93,49,4,5,79,7,57.8,53.9,42.2,96,784,1776,1.56,1.18,2.74,1.44,2.62,1.7,1.24,2.94,1.58,2.82,"https://fbref.com/en/squads/69236f98/2024-2025/Angers-Stats"
2025,"Arsenal","Premier League","team",25,25.8,56.9,38,418,3420,38,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Arsenal","Premier League","opponent",25,26.1,43.1,38,418,3420,38,34,24,58,31,3,3,83,2,34.4,32,24.5,56.6,618,938,0.89,0.63,1.53,0.82,1.45,0.91,0.65,1.55,0.84,1.49,"https://fbref.com/en/squads/18bb7c10/2024-2025/Arsenal-Stats"
2025,"Aston Villa","Premier League","team",28,27,50.5,38,418,3420,38,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.1,2.57,1.35,2.45,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Aston Villa","Premier League","opponent",28,26.3,49.5,38,418,3420,38,51,36,87,49,2,3,104,2,50.1,47.8,36.4,84.2,688,1315,1.34,0.95,2.29,1.29,2.24,1.32,0.96,2.28,1.26,2.22,"https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats"
2025,"Atalanta","Serie A","team",32,27.1,55.3,38,418,3420,38,76,54,130,71,5,7,67,1,65,59.5,46.9,106.4,897,1824,2,1.42,3.42,1.87,3.29,1.71,1.23,2.94,1.57,2.8,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Atalanta","Serie A","opponent",32,26.2,44.7,38,418,3420,38,35,26,61,33,2,2,51,2,38.6,37.1,27.5,64.6,510,988,0.92,0.68,1.61,0.87,1.55,1.01,0.72,1.74,0.98,1.7,"https://fbref.com/en/squads/922493f3/2024-2025/Atalanta-Stats"
2025,"Athletic Club","La Liga","team",31,26.9,48.4,38,418,3420,38,53,40,93,50,3,6,64,3,53,48.2,36.7,84.9,682,1579,1.39,1.05,2.45,1.32,2.37,1.39,0.97,2.36,1.27,2.23,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Athletic Club","La Liga","opponent",31,26.6,51.6,38,418,3420,38,28,11,39,25,3,5,83,4,37.8,33.9,22.9,56.7,468,1177,0.74,0.29,1.03,0.66,0.95,0.99,0.6,1.6,0.89,1.49,"https://fbref.com/en/squads/2b390eca/2024-2025/Athletic-Club-Stats"
2025,"Atlético Madrid","La Liga","team",24,28.4,52.6,38,418,3420,38,68,51,119,62,6,7,75,3,64.6,59.3,47.9,107.2,760,1559,1.79,1.34,3.13,1.63,2.97,1.7,1.26,2.96,1.56,2.82,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Atlético Madrid","La Liga","opponent",24,26.8,47.4,38,418,3420,38,28,17,45,23,5,5,68,0,33.4,29.5,23.9,53.4,581,1543,0.74,0.45,1.18,0.61,1.05,0.88,0.63,1.51,0.78,1.4,"https://fbref.com/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats"
2025,"Augsburg","Bundesliga","team",29,26.8,44.3,34,374,3060,34,35,26,61,34,1,2,78,5,34.7,33.1,25.1,58.2,450,1162,1.03,0.76,1.79,1,1.76,1.02,0.74,1.76,0.97,1.71,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Augsburg","Bundesliga","opponent",29,26.6,55.7,34,374,3060,34,49,31,80,44,5,5,50,3,48.9,45,35,80,604,1438,1.44,0.91,2.35,1.29,2.21,1.44,1.03,2.47,1.32,2.35,"https://fbref.com/en/squads/0cdc4311/2024-2025/Augsburg-Stats"
2025,"Auxerre","Ligue 1","team",29,25.9,42.5,34,374,3060,34,47,35,82,43,4,5,68,4,41,37.3,32,69.3,484,1084,1.38,1.03,2.41,1.26,2.29,1.21,0.94,2.15,1.1,2.04,"https://fbref.com/en/squads/5ae09109/2024-2025/Auxerre-Stats"
