"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Att","Live_Pass Types","Dead_Pass Types","FK_Pass Types","TB_Pass Types","Sw_Pass Types","Crs_Pass Types","TI_Pass Types","CK_Pass Types","In_Corner Kicks","Out_Corner Kicks","Str_Corner Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Matches","url"
1,"Max Aarons","/en/players/774cf58b/Max-Aarons","eng ENG","DF","Bournemouth",23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
2,"Joshua Acheampong","/en/players/b7e62e1d/Joshua-Acheampong","eng ENG","DF","Chelsea",17,2006,0.1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
3,"Tyler Adams","/en/players/2b09d998/Tyler-Adams","us USA","MF","Bournemouth",24,1999,1.3,71,67,4,3,0,1,1,1,0,0,0,0,59,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
4,"Tosin Adarabioyo","/en/players/c81d773d/Tosin-Adarabioyo","eng ENG","DF","Fulham",25,1997,18,1216,1181,33,28,1,9,1,2,0,0,0,0,1028,2,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
5,"Elijah Adebayo","/en/players/0480ebc7/Elijah-Adebayo","eng ENG","FW","Luton Town",25,1998,15.8,204,202,1,0,1,0,5,1,0,0,0,0,144,1,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
6,"Simon Adingra","/en/players/4dcec659/Simon-Adingra","ci CIV","FW","Brighton",21,2002,24.7,840,815,23,3,7,2,76,15,5,0,1,0,634,2,29,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
7,"Nayef Aguerd","/en/players/288e1e13/Nayef-Aguerd","ma MAR","DF","West Ham",27,1996,20.6,1177,1100,75,55,1,29,5,6,0,0,0,0,943,2,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
8,"Brandon Aguilera","/en/players/938fa024/Brandon-Aguilera","cr CRC","FW","Nott'ham Forest",20,2003,0.1,8,8,0,0,0,0,0,0,0,0,0,0,4,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
9,"Naouirou Ahamada","/en/players/a6c58494/Naouirou-Ahamada","fr FRA","MF,FW","Crystal Palace",21,2002,3.9,187,183,4,1,0,0,6,2,0,0,0,0,150,0,8,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
10,"Anel Ahmedhodžić","/en/players/eab957a3/Anel-Ahmedhodzic","ba BIH","DF","Sheffield Utd",24,1999,29.4,993,955,36,11,1,2,6,25,0,0,0,0,749,2,20,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
11,"Ola Aina","/en/players/246d153b/Ola-Aina","ng NGA","DF","Nott'ham Forest",26,1996,18.8,803,650,150,12,2,2,28,138,0,0,0,0,605,3,17,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
12,"Rayan Aït-Nouri","/en/players/9b398aea/Rayan-Ait-Nouri","dz ALG","DF,MF","Wolves",22,2001,25.9,1190,1047,138,24,2,5,41,106,8,5,2,0,1005,5,24,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
13,"Kristoffer Ajer","/en/players/a8c0acb7/Kristoffer-Ajer","no NOR","DF","Brentford",25,1998,20.4,810,730,79,9,1,9,22,65,0,0,0,0,610,1,11,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
14,"Manuel Akanji","/en/players/89ac64a6/Manuel-Akanji","ch SUI","DF,MF","Manchester City",28,1995,27.9,2334,2261,71,34,4,15,9,27,0,0,0,0,2180,2,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
15,"Nathan Aké","/en/players/eaeca114/Nathan-Ake","nl NED","DF","Manchester City",28,1995,22.7,1864,1744,118,32,1,3,11,81,0,0,0,0,1716,2,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
16,"Thiago Alcántara","/en/players/77e84962/Thiago-Alcantara","es ESP","MF","Liverpool",32,1991,0.1,10,9,1,1,0,0,0,0,0,0,0,0,7,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
17,"Trent Alexander-Arnold","/en/players/cd1acf9d/Trent-Alexander-Arnold","eng ENG","DF","Liverpool",24,1998,23.9,2062,1705,346,77,22,32,168,198,71,10,52,0,1553,11,23,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
18,"Alisson","/en/players/7a2e46a8/Alisson","br BRA","GK","Liverpool",30,1992,28,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
19,"Miguel Almirón","/en/players/862a1c15/Miguel-Almiron","py PAR","FW","Newcastle Utd",29,1994,21.5,801,788,10,2,5,0,24,7,1,0,0,0,668,3,16,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
20,"Edson Álvarez","/en/players/8b3ab7ad/Edson-Alvarez","mx MEX","MF","West Ham",25,1997,26.4,1207,1184,18,15,2,9,4,3,0,0,0,0,1033,5,14,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
21,"Julián Álvarez","/en/players/15ab5a2b/Julian-Alvarez","ar ARG","MF,FW","Manchester City",23,2000,29.4,1258,1069,185,25,9,1,137,7,129,44,36,2,1011,4,27,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
22,"Zeki Amdouni","/en/players/2ee5b0c9/Zeki-Amdouni","ch SUI","FW","Burnley",22,2000,21.7,500,445,51,2,7,1,8,0,3,0,0,0,396,4,19,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
23,"Sofyan Amrabat","/en/players/5a2cb25d/Sofyan-Amrabat","ma MAR","MF,DF","Manchester Utd",26,1996,10.4,664,642,21,10,0,8,7,11,0,0,0,0,578,1,10,"Matches","https://fbref.com/en/comps/9/2023-2024/passing_types/2023-2024-Premier-League-Stats"
