"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA Types","PassDead_SCA Types","TO_SCA Types","Sh_SCA Types","Fld_SCA Types","Def_SCA Types","GCA_GCA","GCA90_GCA","PassLive_GCA Types","PassDead_GCA Types","TO_GCA Types","Sh_GCA Types","Fld_GCA Types","Def_GCA Types","Matches","url"
1,"Max Aarons","/en/players/774cf58b/Max-Aarons","eng ENG","DF","Bournemouth",23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
2,"Joshua Acheampong","/en/players/b7e62e1d/Joshua-Acheampong","eng ENG","DF","Chelsea",17,2006,0.1,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
3,"Tyler Adams","/en/players/2b09d998/Tyler-Adams","us USA","MF","Bournemouth",24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
4,"Tosin Adarabioyo","/en/players/c81d773d/Tosin-Adarabioyo","eng ENG","DF","Fulham",25,1997,18,10,0.56,6,0,0,4,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
5,"Elijah Adebayo","/en/players/0480ebc7/Elijah-Adebayo","eng ENG","FW","Luton Town",25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
6,"Simon Adingra","/en/players/4dcec659/Simon-Adingra","ci CIV","FW","Brighton",21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
7,"Nayef Aguerd","/en/players/288e1e13/Nayef-Aguerd","ma MAR","DF","West Ham",27,1996,20.6,14,0.68,12,1,0,1,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
8,"Brandon Aguilera","/en/players/938fa024/Brandon-Aguilera","cr CRC","FW","Nott'ham Forest",20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
9,"Naouirou Ahamada","/en/players/a6c58494/Naouirou-Ahamada","fr FRA","MF,FW","Crystal Palace",21,2002,3.9,9,2.3,9,0,0,0,0,0,3,0.77,3,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
10,"Anel Ahmedhodžić","/en/players/eab957a3/Anel-Ahmedhodzic","ba BIH","DF","Sheffield Utd",24,1999,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/gca/2023-2024-Premier-League-Stats"
