"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxGPlus_Minus_Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal Kicks","Launch_percent_Goal Kicks","AvgLen_Goal Kicks","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Matches","url"
1,"Alisson","/en/players/7a2e46a8/Alisson","br BRA","GK","Liverpool",30,1992,28,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
2,"Alphonse Areola","/en/players/2f965a72/Alphonse-Areola","fr FRA","GK","West Ham",30,1993,30,53,5,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
3,"Daniel Bentley","/en/players/68db6358/Daniel-Bentley","eng ENG","GK","Wolves",30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36,33.8,33,48.5,36.9,50,0,0,3,0.7,13.3,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
4,"Martin Dúbravka","/en/players/3a949a25/Martin-Dubravka","sk SVK","GK","Newcastle Utd",34,1989,22.1,42,4,0,5,0,42.2,0.29,0.2,0.01,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1,12.9,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
5,"Ederson","/en/players/3bb7b8b4/Ederson","br BRA","GK","Manchester City",29,1993,30.9,27,3,0,2,1,27.2,0.3,1.2,0.04,114,246,46.3,1120,137,18.3,27.2,114,36,36.3,247,25,10.1,50,1.62,17.3,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
6,"Łukasz Fabiański","/en/players/9328b835/Lukasz-Fabianski","pl POL","GK","West Ham",38,1985,8,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50,39,56,57.1,45.1,114,8,7,1,0.12,7.6,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
7,"Mark Flekken","/en/players/a92ab7be/Mark-Flekken","nl NED","GK","Brentford",30,1993,36.5,63,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,568,44,7.7,37,1.01,12.6,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
8,"Wes Foderingham","/en/players/96cf7b61/Wes-Foderingham","eng ENG","GK","Sheffield Utd",32,1991,29.4,79,5,0,8,5,70.4,0.33,-3.6,-0.12,205,618,33.2,783,101,54.5,40.2,262,72.9,52.1,468,28,6,42,1.43,14.7,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
9,"Ivo Grbić","/en/players/3f034750/Ivo-Grbic","hr CRO","GK","Sheffield Utd",27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
10,"Dean Henderson","/en/players/e5a76dfe/Dean-Henderson","eng ENG","GK","Crystal Palace",26,1997,18,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47,246,5,2,17,0.94,13.8,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
11,"Sam Johnstone","/en/players/9e5708be/Sam-Johnstone","eng ENG","GK","Crystal Palace",30,1993,20,27,2,0,4,1,20,0.27,-6,-0.3,117,355,33,453,63,55,41.2,141,75.2,52.8,339,24,7.1,12,0.6,11.2,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
12,"Thomas Kaminski","/en/players/1caa93a5/Thomas-Kaminski","be BEL","GK","Luton Town",30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52,39.5,341,66,47.5,558,16,2.9,76,2.01,20.5,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
13,"Loris Karius","/en/players/32e7ce92/Loris-Karius","de GER","GK","Newcastle Utd",30,1993,1,4,0,0,1,1,2,0.29,-1,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10,3,3,19.5,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
14,"Caoimhín Kelleher","/en/players/62d7ef38/Caoimhin-Kelleher","ie IRL","GK","Liverpool",24,1998,10,11,0,0,3,1,11.3,0.3,1.3,0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.3,17,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
15,"Bernd Leno","/en/players/2628fd2b/Bernd-Leno","de GER","GK","Fulham",31,1992,38,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,472,19,4,40,1.05,14.2,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
16,"Emiliano Martínez","/en/players/7956236f/Emiliano-Martinez","ar ARG","GK","Aston Villa",30,1992,33.5,48,1,0,10,4,50.6,0.37,6.6,0.2,121,332,36.4,1270,157,21,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
17,"Remi Matthews","/en/players/27f4f772/Remi-Matthews","eng ENG","GK","Crystal Palace",29,1994,0,1,0,0,0,0,0.1,0.15,-0.9,-19.2,0,5,0,4,0,100,53.8,1,100,63,1,1,100,0,0,3.5,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
18,"Arijanet Muric","/en/players/99aa1a84/Arijanet-Muric","xk KVX","GK","Burnley",24,1998,10,16,1,0,1,1,21.7,0.26,6.7,0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,143,20,14,31,3.1,17.2,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
19,"Neto","/en/players/a9dc785c/Neto","br BRA","GK","Bournemouth",34,1989,32,55,5,1,3,1,55.2,0.31,1.2,0.04,172,494,34.8,833,154,44.1,36.9,223,57,44.2,413,26,6.3,34,1.06,13.7,"Matches","https://fbref.com/en/comps/9/2023-2024/keepersadv/2023-2024-Premier-League-Stats"
