"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Matches","url"
1,"Max Aarons","/en/players/774cf58b/Max-Aarons","eng ENG","DF","Bournemouth",23,2000,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80,34,63,54,1,0.8,0.9,0.2,7,25,13,2,43,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
2,"Joshua Acheampong","/en/players/b7e62e1d/Joshua-Acheampong","eng ENG","DF","Chelsea",17,2006,0.1,1,2,50,18,7,0,0,NA,1,1,100,0,1,0,0,0,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
3,"Tyler Adams","/en/players/2b09d998/Tyler-Adams","us USA","MF","Bournemouth",24,1999,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75,6,8,75,0,0.1,0,-0.1,1,9,0,0,5,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
4,"Tosin Adarabioyo","/en/players/c81d773d/Tosin-Adarabioyo","eng ENG","DF","Fulham",25,1997,18,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65,0,0.1,0.3,-0.1,2,47,2,0,62,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
5,"Elijah Adebayo","/en/players/0480ebc7/Elijah-Adebayo","eng ENG","FW","Luton Town",25,1998,15.8,144,204,70.6,1847,385,94,122,77,41,60,68.3,3,6,50,0,0.7,0.4,-0.7,14,9,4,0,23,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
6,"Simon Adingra","/en/players/4dcec659/Simon-Adingra","ci CIV","FW","Brighton",21,2002,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
7,"Nayef Aguerd","/en/players/288e1e13/Nayef-Aguerd","ma MAR","DF","West Ham",27,1996,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
8,"Brandon Aguilera","/en/players/938fa024/Brandon-Aguilera","cr CRC","FW","Nott'ham Forest",20,2003,0.1,4,8,50,48,23,3,6,50,1,2,50,0,0,NA,0,0,0,0,0,1,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
9,"Naouirou Ahamada","/en/players/a6c58494/Naouirou-Ahamada","fr FRA","MF,FW","Crystal Palace",21,2002,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0,0.1,0,1,12,0,0,25,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
10,"Anel Ahmedhodžić","/en/players/eab957a3/Anel-Ahmedhodzic","ba BIH","DF","Sheffield Utd",24,1999,29.4,749,993,75.4,12780,5078,334,386,86.5,348,425,81.9,54,137,39.4,0,0.8,0.6,-0.8,7,41,3,1,43,"Matches","https://fbref.com/en/comps/9/2023-2024/passing/2023-2024-Premier-League-Stats"
