"Rk","Player","Player_Href","Nation","Pos","Squad","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_minus_Ons","Succ_Take_minus_Ons","Succ_percent_Take_minus_Ons","Tkld_Take_minus_Ons","Tkld_percent_Take_minus_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Matches","url"
1,"Max Aarons","/en/players/774cf58b/Max-Aarons","eng ENG","DF","Bournemouth",23,2000,13.7,711,43,252,303,165,11,711,34,14,41.2,12,35.3,364,2174,1121,22,12,7,13,8,371,26,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
2,"Joshua Acheampong","/en/players/b7e62e1d/Joshua-Acheampong","eng ENG","DF","Chelsea",17,2006,0.1,6,5,5,0,1,0,6,0,0,NA,0,NA,1,18,12,0,0,0,0,0,0,0,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
3,"Tyler Adams","/en/players/2b09d998/Tyler-Adams","us USA","MF","Bournemouth",24,1999,1.3,91,3,23,54,14,4,91,3,2,66.7,0,0,44,193,116,4,1,2,3,0,52,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
4,"Tosin Adarabioyo","/en/players/c81d773d/Tosin-Adarabioyo","eng ENG","DF","Fulham",25,1997,18,1390,181,713,631,48,29,1390,3,1,33.3,0,0,817,4560,2661,10,12,1,4,4,1009,5,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
5,"Elijah Adebayo","/en/players/0480ebc7/Elijah-Adebayo","eng ENG","FW","Luton Town",25,1998,15.8,462,27,52,172,243,82,462,67,18,26.9,46,68.7,265,1516,425,16,15,13,62,34,337,110,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
6,"Simon Adingra","/en/players/4dcec659/Simon-Adingra","ci CIV","FW","Brighton",21,2002,24.7,1159,36,187,364,627,153,1159,123,50,40.7,64,52,773,5063,2996,111,48,63,48,28,795,278,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
7,"Nayef Aguerd","/en/players/288e1e13/Nayef-Aguerd","ma MAR","DF","West Ham",27,1996,20.6,1373,187,709,618,50,21,1373,5,3,60,2,40,861,4211,2388,10,8,0,10,2,912,3,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
8,"Brandon Aguilera","/en/players/938fa024/Brandon-Aguilera","cr CRC","FW","Nott'ham Forest",20,2003,0.1,11,1,3,4,4,0,11,0,0,NA,0,NA,4,16,12,0,1,0,0,0,6,1,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
9,"Naouirou Ahamada","/en/players/a6c58494/Naouirou-Ahamada","fr FRA","MF,FW","Crystal Palace",21,2002,3.9,240,6,46,123,75,8,240,13,7,53.8,5,38.5,150,1018,486,19,8,4,8,11,169,20,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
10,"Anel Ahmedhodžić","/en/players/eab957a3/Anel-Ahmedhodzic","ba BIH","DF","Sheffield Utd",24,1999,29.4,1336,229,736,507,104,33,1336,21,11,52.4,9,42.9,606,3527,1953,15,15,3,14,11,697,21,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
11,"Ola Aina","/en/players/246d153b/Ola-Aina","ng NGA","DF","Nott'ham Forest",26,1996,18.8,1020,62,340,464,227,13,1020,45,27,60,14,31.1,494,3136,1828,52,28,11,24,10,539,37,"Matches","https://fbref.com/en/comps/9/2023-2024/possession/2023-2024-Premier-League-Stats"
